original_fungi_name,species_name,enzyme_name,EC_number,evidence,notes,source_file
Agaricus blazei U2-2,,Laccase,EC 1.10.3.2,Lowest laccase activity amongst strains,Includes mediator system / LMCO,Induction+of+Laccase+Production+by+T.+pubescens_.txt
Agaricus blazei U2-3,,Laccase,EC 1.10.3.2,Highest laccase activity in strain U2-3,Includes mediator system / LMCO,Induction+of+Laccase+Production+by+T.+pubescens_.txt
Agaricus blazei U2-4,,Laccase,EC 1.10.3.2,Highest laccase activity in absence of copper,Includes mediator system / LMCO,Induction+of+Laccase+Production+by+T.+pubescens_.txt
Agaricus blazei U2-4,,Laccase,EC 1.10.3.2,Lowest laccase activity,Includes mediator system / LMCO,Induction+of+Laccase+Production+by+T.+pubescens_.txt
Agaricus blazei U2-4,,Laccase,EC 1.10.3.2,Copper increased laccase activity,Includes mediator system / LMCO,Induction+of+Laccase+Production+by+T.+pubescens_.txt
Agaricus blazei U2-4,,Laccase,EC 1.10.3.2,Laccase activity observed after initial inhibition,Includes mediator system / LMCO,Induction+of+Laccase+Production+by+T.+pubescens_.txt
Agaricus heterocystis,,Manganese peroxidase,EC 1.11.1.13,Optimum temperature for MnP production.,,Lignin-degrading+enzymes+of+the+commercial+button+mushroom%2C+Agaricus+bisporus_.txt
Aspergillus niger,,Manganese peroxidase,EC 1.11.1.13,MnP activity correlated with decolorization performance,,Mycoremediation%3A+fungal+bioremediation_.txt
Aspergillus niger strain 13A,,"Cellulase (Endo-1,4-β-glucanase)",EC 3.2.1.4,Optimal pH for growth and cellulase production.,,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
Aspergillus niger strain 13A,,"Cellulase (Endo-1,4-β-glucanase)",EC 3.2.1.4,Growth and cellulase production at this pH.,,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
Aspergillus niger strain 13A,,"Cellulase (Endo-1,4-β-glucanase)",EC 3.2.1.4,Optimal growth and cellulase production.,,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
Aspergillus ochraceus NCIM-1146,,Laccase,EC 1.10.3.2,laccase accompanied by lignin peroxidase,Includes mediator system / LMCO,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
Aspergillus ochraceus NCIM-1146,,Lignin peroxidase,EC 1.11.1.14,laccase accompanied by lignin peroxidase,,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
Aspergillus ochraceus NCIM-1146,,Peroxidase (unspecified),EC 1.11.1.7,laccase accompanied by lignin peroxidase,,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt
Ceriporiopsis subvermispora,,Manganese peroxidase,EC 1.11.1.13,initially faster decolorization due to higher MnP activity,,Induction+of+ligninolytic+enzyme+production+by+Dichomitus+squalens+on+various+types+of+immobilization+support_.txt
Coriolus versicolor,,Laccase,EC 1.10.3.2,MnP and laccase activity influenced decolorization,Includes mediator system / LMCO,Mycoremediation%3A+fungal+bioremediation_.txt
Coriolus versicolor,,Manganese peroxidase,EC 1.11.1.13,MnP and laccase activity influenced decolorization,,Mycoremediation%3A+fungal+bioremediation_.txt
DyP-PE (Peroxidase from Pleurotus eryngii),,Dye-decolorizing peroxidase,EC 1.11.1.19,High effectiveness of DyP-PE reported in decolorizing MG.,,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
DyP-PE (Peroxidase from Pleurotus eryngii),,Dye-decolorizing peroxidase,EC 1.11.1.19,Further confirmation of DyP-PE's capability.,,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
DyP-PE (Peroxidase from Pleurotus eryngii),,Dye-decolorizing peroxidase,EC 1.11.1.19,This shows DyP-PE's consistent performance.,,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
Fomes sclerodermeus,,Laccase,EC 1.10.3.2,No laccase production detected in Phanerochaete chrysosporium.,Includes mediator system / LMCO,Malignant+transformation+by+malachite+green_.txt
Fomitopsis feei,,Laccase,EC 1.10.3.2,Laccase activity: 46 U/mL; Lignin peroxidase activity: 36 U/mL,Includes mediator system / LMCO,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Laccase,EC 1.10.3.2,Laccase activity: 42 U/mL; Lignin peroxidase activity: 14 U/mL,Includes mediator system / LMCO,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Laccase,EC 1.10.3.2,Laccase activity not observed,Includes mediator system / LMCO,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Lignin peroxidase,EC 1.11.1.14,Laccase activity: 46 U/mL; Lignin peroxidase activity: 36 U/mL,,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Lignin peroxidase,EC 1.11.1.14,Laccase activity: 42 U/mL; Lignin peroxidase activity: 14 U/mL,,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Lignin peroxidase,EC 1.11.1.14,Lignin peroxidase activity: 6 U/mL,,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Lignin peroxidase,EC 1.11.1.14,Lignin peroxidase activity: 2 U/mL,,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Lignin peroxidase,EC 1.11.1.14,Lignin peroxidase activity: 44 U/mL,,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Peroxidase (unspecified),EC 1.11.1.7,Laccase activity: 46 U/mL; Lignin peroxidase activity: 36 U/mL,,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Peroxidase (unspecified),EC 1.11.1.7,Laccase activity: 42 U/mL; Lignin peroxidase activity: 14 U/mL,,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Peroxidase (unspecified),EC 1.11.1.7,Lignin peroxidase activity: 6 U/mL,,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Peroxidase (unspecified),EC 1.11.1.7,Lignin peroxidase activity: 2 U/mL,,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Fomitopsis feei,,Peroxidase (unspecified),EC 1.11.1.7,Lignin peroxidase activity: 44 U/mL,,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Grammothele subargentea,,Laccase,EC 1.10.3.2,Laccase activity was highest.,Includes mediator system / LMCO,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt
KV10,,Laccase,EC 1.10.3.2,High correlation between laccase production and decolorization,Includes mediator system / LMCO,Degradation+of+dyes+by+white+rot+fungi_.txt
KV10,,Laccase,EC 1.10.3.2,High correlation between laccase production and decolorization,Includes mediator system / LMCO,Degradation+of+dyes+by+white+rot+fungi_.txt
KV12,,Laccase,EC 1.10.3.2,High correlation between laccase production and decolorization,Includes mediator system / LMCO,Degradation+of+dyes+by+white+rot+fungi_.txt
KV12,,Laccase,EC 1.10.3.2,High correlation between laccase production and decolorization,Includes mediator system / LMCO,Degradation+of+dyes+by+white+rot+fungi_.txt
Lentinula edodes,,Manganese peroxidase,EC 1.11.1.13,The greatest MnP activity was observed on the 25th day.,,Decolorization+of+synthetic+dyes+by+solid+state+culture+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
Melanocarpus albomyces,,Laccase,EC 1.10.3.2,Screened for various laccase producing fungi,Includes mediator system / LMCO,Fed+Batch+Experiment+for+Laccase+Production_.txt
Melanocarpus albomyces,,Laccase,EC 1.10.3.2,Confirmatory tests of laccase production,Includes mediator system / LMCO,Fed+Batch+Experiment+for+Laccase+Production_.txt
Melanocarpus albomyces,,Laccase,EC 1.10.3.2,Used as substrate for laccase activity measurements,Includes mediator system / LMCO,Fed+Batch+Experiment+for+Laccase+Production_.txt
Melanocarpus albomyces,,Laccase,EC 1.10.3.2,"Recombinant laccase was produced in T. reesei, yielded 920 mg/l",Includes mediator system / LMCO,Fed+Batch+Experiment+for+Laccase+Production_.txt
Phanerochaete chrysosporium,,Laccase,EC 1.10.3.2,Performed with 36 Units/L Laccase enzyme.,Includes mediator system / LMCO,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
Phanerochaete chrysosporium,,Laccase,EC 1.10.3.2,Performed with 72 Units/L Laccase enzyme.,Includes mediator system / LMCO,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
Phanerochaete chrysosporium,,Laccase,EC 1.10.3.2,Performed with 144 Units/L Laccase enzyme.,Includes mediator system / LMCO,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
Phanerochaete chrysosporium,,Laccase,EC 1.10.3.2,Performed with 36 Units/L Laccase enzyme.,Includes mediator system / LMCO,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt
