original_fungi_name,species_name,MycoBankID,enzymes_list,classification,accepted_name,status
,,,,,,Not available
A. flavus SA2,Aspergillus flavus,209842,,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus flavus,Aspergillus flavus,Valid
A. tereus SA3,,,,,,Not available
AGUM004,,,,,,Not available
AGUM007,,,,,,Not available
AGUM011,,,,,,Not available
AGUM021,,,,,,Not available
Absidia spinosa,Absidia spinosa,,,,Absidia spinosa,Valid
Agaricus bisporus,Agaricus bisporus,,,Fungi > Basidiomycota > Agaricomycetes > Agaricales > Agaricaceae > Agaricus > Agaricus bisporus,Agaricus bisporus,Valid
Agaricus blazei U2-1,Agaricus blazei,,,Fungi > Basidiomycota > Agaricomycetes > Agaricales > Agaricaceae > Agaricus > Agaricus blazei,Agaricus blazei,Valid
Agaricus blazei U2-2,Agaricus blazei,,Laccase,Fungi > Basidiomycota > Agaricomycetes > Agaricales > Agaricaceae > Agaricus > Agaricus blazei,Agaricus blazei,Valid
Agaricus blazei U2-3,Agaricus blazei,,Laccase,Fungi > Basidiomycota > Agaricomycetes > Agaricales > Agaricaceae > Agaricus > Agaricus blazei,Agaricus blazei,Valid
Agaricus blazei U2-4,Agaricus blazei,,Laccase,Fungi > Basidiomycota > Agaricomycetes > Agaricales > Agaricaceae > Agaricus > Agaricus blazei,Agaricus blazei,Valid
Agaricus heterocystis,Agaricus heterocystis,,Manganese peroxidase,Fungi > Basidiomycota > Agaricomycetes > Agaricales > Agaricaceae > Agaricus > Agaricus heterocystis,Agaricus heterocystis,Valid
Alternaria solani,Alternaria solani,,,Fungi > Ascomycota > Dothideomycetes > Pleosporales > Pleosporaceae > Alternaria > Alternaria solani,Alternaria solani,Valid
Alternaria spp. SA4,Alternaria spp,,,Fungi > Ascomycota > Dothideomycetes > Pleosporales > Pleosporaceae > Alternaria > Alternaria spp,Alternaria spp,Valid
Aspergillus bombycis,Aspergillus bombycis,,,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus bombycis,Aspergillus bombycis,Valid
Aspergillus flavus,Aspergillus flavus,209842,,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus flavus,Aspergillus flavus,Valid
Aspergillus fumigatus,Aspergillus fumigatus,,,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus fumigatus,Aspergillus fumigatus,Valid
Aspergillus nidulans,Aspergillus nidulans,,,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus nidulans,Aspergillus nidulans,Valid
Aspergillus niger,Aspergillus niger,284309,Manganese peroxidase,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus niger,Aspergillus niger,Valid
Aspergillus niger D2-1,Aspergillus niger,284309,,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus niger,Aspergillus niger,Valid
Aspergillus niger strain 13A,Aspergillus niger,284309,Cellulase,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus niger,Aspergillus niger,Valid
Aspergillus ochraceus NCIM-1146,Aspergillus ochraceus,,"Laccase, Lignin peroxidase, Peroxidase (unspecified)",Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus ochraceus,Aspergillus ochraceus,Valid
Aspergillus parasiticus,Aspergillus parasiticus,,,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus parasiticus,Aspergillus parasiticus,Valid
Aspergillus tamarii,Aspergillus tamarii,,,Fungi > Ascomycota > Eurotiomycetes > Eurotiales > Aspergillaceae > Aspergillus > Aspergillus tamarii,Aspergillus tamarii,Valid
