type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information,source_file
Basic fuchsin,Fomitopsis feei,0.00%,,shaking,28°C,21 days,"2.15, 2.12, 1.99",98%,mycelium,Laccase activity: 46 U/mL; Lignin peroxidase activity: 36 U/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Bromophenol blue,Fomitopsis feei,0.00%,,shaking,28°C,21 days,"2.42, 2.14, 1.98",96.80%,mycelium,Laccase activity: 42 U/mL; Lignin peroxidase activity: 14 U/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Methyl violet,Fomitopsis feei,0.00%,,shaking,28°C,21 days,"6.23, 5.18, 2.12",91.50%,mycelium,Lignin peroxidase activity: 6 U/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Ethyl violet,Fomitopsis feei,0.00%,,shaking,28°C,21 days,"6.36, 6.19, 5.91",83.10%,mycelium,Lignin peroxidase activity: 2 U/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Methyl green,Fomitopsis feei,0.00%,,shaking,28°C,21 days,"4.54, 2.18, 2.04",88.30%,mycelium,Lignin peroxidase activity: 44 U/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Malachite green,Fomitopsis feei,0.00%,,shaking,28°C,21 days,"4.54, 2.18, 2.04",89.60%,mycelium,Laccase activity not observed,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Methyl green,Fomitopsis feei,0.00%,,shaking,28°C,14 days,TBD,65.10%,mycelium,TMR assay: 0.070 µmole/min/mL,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt
Congo red,Fusarium oxysporum,0.01%,Not specified,tube overlay,25°C,4 weeks,Not specified,36.70%,whole fungi,Depth of decolorization ranged from 7.5 to 13 mm,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Congo red,Aspergillus niger,0.01%,Not specified,tube overlay,25°C,4 weeks,Not specified,34.21%,whole fungi,Depth of decolorization ranged from 7.5 to 13 mm,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
Congo red,Trichoderma lignorum,0.01%,Not specified,tube overlay,25°C,4 weeks,Not specified,19.73%,whole fungi,Depth of decolorization ranged from 7.5 to 13 mm,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt
