type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
indigo carmine,Coriolus antarcticus,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,93 %,whole fungi,
malachite green,Coriolus antarcticus,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,86 %,whole fungi,
azure B,Coriolus antarcticus,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,82 %,whole fungi,
remazol brilliant blue R,Coriolus antarcticus,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,82 %,whole fungi,
crystal violet,Coriolus antarcticus,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,77 %,whole fungi,
xylidine,Coriolus antarcticus,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,58 %,whole fungi,
indigo carmine,Stereum hirsutum,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,29.3 %,whole fungi,
malachite green,Stereum hirsutum,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,24.5 %,whole fungi,
azure B,Stereum hirsutum,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,3.5 %,whole fungi,
indigo carmine,Trametes trogii,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,26.4 %,whole fungi,
malachite green,Trametes trogii,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,3.6 %,whole fungi,
azure B,Trametes trogii,100 µM,40 days post-inoculation,none,30 ºC,5 h,5.2,14.7 %,whole fungi,
