type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Congo Red,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,7 days,Not specified,1,mycelium,Growth reduction: 22%.
Methyl Red,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,7 days,Not specified,1,mycelium,Growth reduction: 13%.
Trypan Blue,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,7 days,Not specified,1,mycelium,Growth reduction: 1.3%.
Methylene Blue B,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,21 days,Not specified,4,mycelium,Growth reduction: 26.9%.
Neutral Red,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,14 days,Not specified,2,mycelium,Growth reduction: 17.4%.
Bengal Rose,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,7 days,Not specified,1,mycelium,Growth reduction: 50.6%.
Brilliant Green,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,21 days,Not specified,3,mycelium,Highest laccase activity recorded.
Crystal Violet,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,21 days,Not specified,3,mycelium,Growth reduction: 84.8%.
Fuchsin,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,14 days,Not specified,2,mycelium,Growth reduction: 23.9%.
Eosin Y,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,14 days,Not specified,2,mycelium,Growth reduction: 38.7%.
Phloxine,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,21 days,Not specified,1,mycelium,Growth reduction: 36.8%.
Toluidine Blue,Grammothele subargentea,0.01%,Not specified,Not specified,25°C,14 days,Not specified,2,mycelium,Growth reduction: 19.5%.
Overall wood treatment,Grammothele subargentea,Not applicable,7 days,Not specified,25°C,15 days,Not specified,Not applicable,mycelium,Laccase activity and wood degradation recorded.
