type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Orange G,Daldenia concentrica,50 µM,1 x 10^5 spores/ml,shaking,30°C,12 days,6.5,35.88%,mycelium,Maximum dye removal on twelfth day of incubation.
Orange G,Lepiota sp.,50 µM,1 x 10^5 spores/ml,shaking,30°C,12 days,6.5,43.00%,mycelium,Maximum dye removal on twelfth day of incubation.
Orange G,Trametes serialis,50 µM,1 x 10^5 spores/ml,shaking,30°C,12 days,6.5,32.00%,mycelium,Maximum dye removal on twelfth day of incubation.
Methyl Orange,Daldenia concentrica,50 µM,1 x 10^5 spores/ml,shaking,30°C,8 days,6.5,60.00%,mycelium,Initial dry weight of mycelial was 47.0 mg.
Methyl Orange,Lepiota sp.,50 µM,1 x 10^5 spores/ml,shaking,30°C,16 days,6.5,58.65%,mycelium,Maximum mycelial growth was reached at 56 mg on day 16.
Methyl Orange,Trametes serialis,50 µM,1 x 10^5 spores/ml,shaking,30°C,8 days,6.5,53.28%,mycelium,Initial dry weight of mycelial was 54 mg.
Congo Red,Daldenia concentrica,50 µM,1 x 10^5 spores/ml,shaking,30°C,8 days,6.5,91.54%,mycelium,Observed significant mycelial growth at this stage.
Congo Red,Lepiota sp.,50 µM,1 x 10^5 spores/ml,shaking,30°C,8 days,6.5,90.07%,mycelium,Increased mycelial growth observed at 56 mg.
Congo Red,Trametes serialis,50 µM,1 x 10^5 spores/ml,shaking,30°C,8 days,6.5,95.48%,mycelium,Significant mycelial growth observed at this stage.
Dye industry effluent,Daldenia concentrica,effluent,1 x 10^5 spores/ml,batch mode,39°C,7 days,not specified,84.52%,mycelium,Batch mode was most effective.
Dye industry effluent,Lepiota sp.,effluent,1 x 10^5 spores/ml,batch mode,39°C,7 days,not specified,66.67%,mycelium,Batch mode was most effective.
Dye industry effluent,Trametes serialis,effluent,1 x 10^5 spores/ml,batch mode,39°C,7 days,not specified,89.28%,mycelium,Batch mode was most effective.
Dye industry effluent,Daldenia concentrica,effluent,1 x 10^5 spores/ml,continuous mode,not specified,5 days,not specified,52.38%,mycelium,Continuous mode used.
Dye industry effluent,Lepiota sp.,effluent,1 x 10^5 spores/ml,continuous mode,not specified,7 days,not specified,55.95%,mycelium,Continuous mode used.
Dye industry effluent,Trametes serialis,effluent,1 x 10^5 spores/ml,continuous mode,not specified,5 days,not specified,54.76%,mycelium,Continuous mode used.
