type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Reactive Blue 221,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,6.7 nmol s−1ml−1 (laccase); 19.4 pmol s−1ml−1 (T. hirsuta),mycellium,Initial decolorization rates observed
Reactive Black 5,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,1.3 nmol s−1ml−1 (laccase); 15.9 pmol s−1ml−1 (T. hirsuta),mycellium,Initial decolorization rates observed
Direct Blue 71,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,3.7 nmol s−1ml−1 (laccase); 16.2 pmol s−1ml−1 (T. hirsuta),mycellium,Initial decolorization rates observed
Basic Red 9 Base,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,3.3 nmol s−1ml−1 (laccase); 44.5 pmol s−1ml−1 (T. hirsuta),mycellium,Initial decolorization rates observed
Reactive Blue 19,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,8.8 nmol s−1ml−1 (laccase); 29.1 pmol s−1ml−1 (T. hirsuta),mycellium,Initial decolorization rates observed
Acid Blue 225,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,10.6 nmol s−1ml−1 (laccase); 30.9 pmol s−1ml−1 (T. hirsuta),mycellium,Initial decolorization rates observed
Acid Blue 74,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,9.3 nmol s−1ml−1 (laccase); 41.7 pmol s−1ml−1 (T. hirsuta),mycellium,Initial decolorization rates observed
Reactive Blue 221,immobilized laccase from Trametes hirsuta,0.25 mM,70 nkat of laccase in 50 ml of immobilized laccase,pumping,30°C,Continuous,5.0,4.1% detoxification,immobilized laccase,Decolorization monitored using membrane reactor
Reactive Black 5,immobilized laccase from Trametes hirsuta,0.25 mM,70 nkat of laccase in 50 ml of immobilized laccase,pumping,30°C,Continuous,5.0,11.4% detoxification,immobilized laccase,Decolorization monitored using membrane reactor
Direct Blue 71,immobilized laccase from Trametes hirsuta,0.25 mM,70 nkat of laccase in 50 ml of immobilized laccase,pumping,30°C,Continuous,5.0,39% detoxification,immobilized laccase,Decolorization monitored using membrane reactor
Basic Red 9 Base,immobilized laccase from Trametes hirsuta,0.25 mM,70 nkat of laccase in 50 ml of immobilized laccase,pumping,30°C,Continuous,5.0,62.2% detoxification,immobilized laccase,Decolorization monitored using membrane reactor
Reactive Blue 19,immobilized laccase from Trametes hirsuta,0.25 mM,70 nkat of laccase in 50 ml of immobilized laccase,pumping,30°C,Continuous,5.0,84.4% detoxification,immobilized laccase,Decolorization monitored using membrane reactor
Acid Blue 225,immobilized laccase from Trametes hirsuta,0.25 mM,70 nkat of laccase in 50 ml of immobilized laccase,pumping,30°C,Continuous,5.0,78% detoxification,immobilized laccase,Decolorization monitored using membrane reactor
Acid Blue 74,immobilized laccase from Trametes hirsuta,0.25 mM,70 nkat of laccase in 50 ml of immobilized laccase,pumping,30°C,Continuous,5.0,53.7% detoxification,immobilized laccase,Decolorization monitored using membrane reactor
