type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Acid Orange 20 (AO20),Agaricus bisporus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,3.0,over 70%,whole fungi,strongly decolorized by most fungi
Acid Orange 20 (AO20),Agaricus bisporus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,5.0,over 70%,whole fungi,strongly decolorized by most fungi
Acid Orange 20 (AO20),Agaricus bisporus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,7.0,over 70%,whole fungi,strongly decolorized by most fungi
Direct Blue 1 (DB1),Agaricus bisporus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,3.0,over 70%,whole fungi,noted high activity
Direct Blue 1 (DB1),Agaricus bisporus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,5.0,over 70%,whole fungi,noted high activity
Direct Blue 1 (DB1),Agaricus bisporus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,7.0,over 70%,whole fungi,noted high activity
Direct Blue 86 (DB86),Pleurotus salmoneostramineus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,3.0,over 90%,whole fungi,most effective for two phthalocyanine dyes
Direct Blue 86 (DB86),Pleurotus salmoneostramineus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,5.0,over 90%,whole fungi,most effective for two phthalocyanine dyes
Direct Blue 86 (DB86),Pleurotus salmoneostramineus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,7.0,over 90%,whole fungi,most effective for two phthalocyanine dyes
Basic Green 1 (BG1),Agaricus bisporus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,3.0,over 70%,whole fungi,high activity noted
Basic Green 1 (BG1),Agaricus bisporus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,5.0,over 70%,whole fungi,high activity noted
Basic Green 1 (BG1),Agaricus bisporus,0.1 mM,0.6 µg protein,stirring,30°C,24 h,7.0,over 70%,whole fungi,high activity noted
