type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Amaranth,Trametes versicolor,20 ppm,"Initial glucose 10 g/L, NH4+ 0.442 g/L",200 rpm shaking,30°C,1 day,5.0,Complete,Mycelial pellets,Decoloration required glucose replenishment; decoloration started on day 2.
Amaranth,Bjerkandera sp. BOS55,20 ppm,"Initial glucose 10 g/L, NH4+ 0.442 g/L",200 rpm shaking,30°C,1 day,5.0,Complete after shaking,Mycelial pellets,Agitated cultures decolorized dyes without visual sorption to mycelium.
Remazol Black B,Trametes versicolor,60 ppm,"Initial glucose 10 g/L, NH4+ 0.442 g/L",200 rpm shaking,30°C,1 day,5.0,Complete,Mycelial pellets,Decoloration showed profound effects of buffer on pH stability.
Reactive Blue,Trametes versicolor,20 ppm,"Initial glucose 10 g/L, NH4+ 0.442 g/L",200 rpm shaking,30°C,1 day,5.0,Complete,Mycelial pellets,Remained undeceased when glucose was replenished.
Remazol Orange,Trametes versicolor,20 ppm,"Initial glucose 10 g/L, NH4+ 0.442 g/L",200 rpm shaking,30°C,1 day,5.0,Limited,Mycelial pellets,Limited ability for sequential decoloration.
Tropaeolin O,Trametes versicolor,20 ppm,"Initial glucose 10 g/L, NH4+ 0.442 g/L",200 rpm shaking,30°C,1 day,5.0,Limited,Mycelial pellets,Not decolorized as a first dye.
Amaranth,Trametes versicolor,50 ppm,N-limited 0.442 g/L NH4+,Static,30°C,2 days,5.0,Complete,Whole broth,Laccase and MnP production detected.
Amaranth,Trametes versicolor,50 ppm,N-rich 12 mM NH4+,Static,30°C,30 days,5.0,Limited,Whole broth,Significant sorption without further decoloration.
Amaranth,Trametes versicolor,50 ppm,200 μM Mn2+ in N-limited,Static,30°C,2 days,5.0,Complete,Whole broth,Post mitochondrial activity detected.
Amaranth,Trametes versicolor,50 ppm,200 μM Mn2+ in N-rich,Static,30°C,48 hours,5.0,Limited,Whole broth,Sorption observed.
