type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Methyl Orange,KV10,1 mg/ml,8 mm diameter discs,static,28°C,96 hours,5.4,76%,mycelium,High laccase production correlated with decolorization
Methyl Orange,KV12,1 mg/ml,8 mm diameter discs,static,28°C,96 hours,5.4,79%,mycelium,High laccase production correlated with decolorization
Rhodamine-B,KV10,1 mg/ml,8 mm diameter discs,static,28°C,96 hours,5.4,>60%,mycelium,High laccase production correlated with decolorization
Rhodamine-B,KV12,1 mg/ml,8 mm diameter discs,static,28°C,96 hours,5.4,>60%,mycelium,High laccase production correlated with decolorization
Methyl Orange,KVA5,1 mg/ml,8 mm diameter discs,static,28°C,96 hours,5.4,High rate of decolorization,mycelium,High laccase production correlated with decolorization
Rhodamine-B,KVA5,1 mg/ml,8 mm diameter discs,static,28°C,96 hours,5.4,High rate of decolorization,mycelium,High laccase production correlated with decolorization
Methyl Orange,KV11,1 mg/ml,8 mm diameter discs,static,28°C,96 hours,5.4,High rate of decolorization,mycelium,High laccase production correlated with decolorization
Rhodamine-B,KV11,1 mg/ml,8 mm diameter discs,static,28°C,96 hours,5.4,High rate of decolorization,mycelium,High laccase production correlated with decolorization
Methyl Orange,AKCH,1 mg/ml,8 mm diameter discs,static,28°C,96 hours,5.4,High rate of decolorization,mycelium,High laccase production correlated with decolorization
Rhodamine-B,AKCH,1 mg/ml,8 mm diameter discs,static,28°C,96 hours,5.4,High rate of decolorization,mycelium,High laccase production correlated with decolorization
