type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
bentazon,Trametes versicolor,10 ppm,3.5 g DW⋅L⁻¹,stirred tank bioreactor,25 °C,6 hours,4.5,complete removal,fungal mass,Maximum performance reached at 30 % DO
TBP,Trametes versicolor,5 ppm,3.5 g DW⋅L⁻¹,stirred tank bioreactor,25 °C,32 hours,4.5,complete removal,fungal mass,Maximum performance reached at 30 % DO
bentazon,Trametes versicolor,10 ppm,3.5 g DW⋅L⁻¹,stirred tank bioreactor,25 °C,Not specified,4.5,reduced efficiency at 15 % DO,fungal mass,Degradation capacities were reduced at lower DO levels
TBP,Trametes versicolor,5 ppm,3.5 g DW⋅L⁻¹,stirred tank bioreactor,25 °C,Not specified,4.5,reduced efficiency at 15 % DO,fungal mass,Degradation capacities were reduced at lower DO levels
acetate,Trametes versicolor,Not specified,3.5 g DW⋅L⁻¹,stirred tank bioreactor,30 °C,Approximately 130 hours,4.5,complete consumption,fungal mass,Comparison with glucose shows lower efficiency
acetate,Trametes versicolor,Not specified,3.5 g DW⋅L⁻¹,stirred tank bioreactor,30 °C,Not specified,4.5,55% COD reduction after first cycle,fungal mass,Some transformation products may have formed
bentazon,Trametes versicolor,10 ppm,3.5 g DW⋅L⁻¹,fixed-bed bioreactor,25 °C,Not specified,4.5,oxygen-limited conditions at > 43 min EBCT,fungal mass,DO should be above 15 %
TBP,Trametes versicolor,5 ppm,3.5 g DW⋅L⁻¹,fixed-bed bioreactor,25 °C,Not specified,4.5,oxygen-limited conditions at > 43 min EBCT,fungal mass,DO should be above 15 %
bentazon,Trametes versicolor,10 ppm,3.5 g DW⋅L⁻¹,rotating drum bioreactor,25 °C,30 hours,4.5,oxygen-limited conditions reached after 9.7 h,fungal mass,Needs additional aeration for optimal performance
TBP,Trametes versicolor,5 ppm,3.5 g DW⋅L⁻¹,rotating drum bioreactor,25 °C,30 hours,4.5,oxygen-limited conditions reached after 9.7 h,fungal mass,Needs additional aeration for optimal performance
