type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Malachite green,Phanerochaete chrysosporium,64 µM,Not specified,None (solid media),28°C,60h,5.6,Not applicable (growth inhibition),whole fungi,Inhibited radial growth at 64 µM.
Malachite green,Phanerochaete chrysosporium,32 µM,Not specified,None (solid media),28°C,Not specified,5.6,Delayed growth observed,whole fungi,Grew in 84h instead of 60h in control.
Malachite green,Fomes sclerodermeus,128 µM,Not specified,None (solid media),28°C,9 days,5.6,Yes,whole fungi,Filled half the plate after 9 days.
Malachite green,Fomes sclerodermeus,32 µM or lower,Not specified,None (solid media),28°C,7 days,5.6,Yes,whole fungi,Covered the plate after 7 days.
Malachite green,Phanerochaete chrysosporium,4 µM,Not specified,Static (liquid media),28°C,Not specified,6.4,Not specified,whole fungi,Growth affected.
Malachite green,Fomes sclerodermeus,16 µM,Not specified,Static (liquid media),28°C,Not specified,6.4,Yes,whole fungi,Delay in growth observed.
Malachite green,Fomes sclerodermeus,32 µM,Not specified,Static (liquid media),28°C,Not specified,6.4,Yes,whole fungi,Incubated with high laccase activity.
Malachite green (with 1-HBT),Fomes sclerodermeus,32 µM,Not specified,None (solid media),30°C,24h,3.5,Rapid decolorization,whole fungi,Activity increased with 1-HBT.
Decolorized malachite green (DMG),Phanerochaete chrysosporium,2 µM,Not specified,None (solid media),Not specified,Not specified,5.6,Not applicable (growth measured),whole fungi,Grew similar to control.
Decolorized malachite green (DMG),Coriolus versicolor f. antarcticus,2 µM,Not specified,None (solid media),Not specified,Not specified,5.6,Not applicable (growth measured),whole fungi,Radial growth measured in cm.
Decolorized malachite green (DMG),Pleurotus lindquistii,2 µM,Not specified,None (solid media),Not specified,Not specified,5.6,Not applicable (growth measured),whole fungi,Radial growth measured in cm.
Decolorized malachite green (DMG),Spongipellis fissilis,2 µM,Not specified,None (solid media),Not specified,Not specified,5.6,Not applicable (growth measured),whole fungi,Radial growth measured in cm.
Decolorized malachite green (DMG),Trametes extenuata,2 µM,Not specified,None (solid media),Not specified,Not specified,5.6,Not applicable (growth measured),whole fungi,Radial growth measured in cm.
