type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,13 days,not specified,Complete decolorization,whole fungi,control and experimental setups monitored for growth and decolorization
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,11 days,not specified,Complete decolorization,whole fungi,control and experimental setups monitored for growth and decolorization
Reactive Golden Yellow HR,Phanerochaete chrysosporium,10 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,11 days,not specified,Complete decolorization,whole fungi,control and experimental setups monitored for growth and decolorization
Reactive Violet 5R,Phanerochaete chrysosporium,10 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,11 days,not specified,Complete decolorization,whole fungi,control and experimental setups monitored for growth and decolorization
Reactive Red HE8B,Phanerochaete chrysosporium,50 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Black B,Phanerochaete chrysosporium,50 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Golden Yellow HR,Phanerochaete chrysosporium,50 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Violet 5R,Phanerochaete chrysosporium,50 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Red HE8B,Phanerochaete chrysosporium,100 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Black B,Phanerochaete chrysosporium,100 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Golden Yellow HR,Phanerochaete chrysosporium,100 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Violet 5R,Phanerochaete chrysosporium,100 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Red HE8B,Phanerochaete chrysosporium,250 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Black B,Phanerochaete chrysosporium,250 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Golden Yellow HR,Phanerochaete chrysosporium,250 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Violet 5R,Phanerochaete chrysosporium,250 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Red HE8B,Phanerochaete chrysosporium,500 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Black B,Phanerochaete chrysosporium,500 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Golden Yellow HR,Phanerochaete chrysosporium,500 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Violet 5R,Phanerochaete chrysosporium,500 mg/L,10 mm diameter agar plugs (3 plugs),static condition,27°C,not specified,not specified,incomplete,whole fungi,further tests needed for completion
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,1 agar plug (10 mm diameter),not specified,not specified,fastest decolorization,not specified,Complete decolorization,,
