type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Amaranth,Trametes versicolor,50 ppm,unknown,agitated at 200 rpm,30°C,24 hours,5.0,complete,mycelial pellets,
Remazol Black B,Trametes versicolor,60 ppm,unknown,agitated at 200 rpm,30°C,24 hours,5.0,complete,mycelial pellets,
Remazol Orange,Trametes versicolor,60 ppm,unknown,agitated at 200 rpm,30°C,24 hours,5.0,complete,mycelial pellets,
Tropaeolin O,Trametes versicolor,20 ppm,unknown,agitated at 200 rpm,30°C,24 hours,5.0,complete,mycelial pellets,
Reactive Blue,Trametes versicolor,20 ppm,unknown,agitated at 200 rpm,30°C,24 hours,5.0,complete,mycelial pellets,
Amaranth,Trametes versicolor,50 ppm,unknown,static,30°C,4 days,5.0,partial,mycelial mat,
Remazol Black B,Trametes versicolor,60 ppm,unknown,static,30°C,4 days,5.0,partial,mycelial mat,
Remazol Orange,Trametes versicolor,60 ppm,unknown,static,30°C,4 days,5.0,partial,mycelial mat,
Tropaeolin O,Trametes versicolor,20 ppm,unknown,static,30°C,4 days,5.0,partial,mycelial mat,
Reactive Blue,Trametes versicolor,20 ppm,unknown,static,30°C,4 days,5.0,partial,mycelial mat,
