type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Poly R478,Trametes trogii,50 mg/l,300 ml culture medium,shaking,30°C,24 hours,5,yes,mycelium,Decolorization confirmed with both crude enzyme and purified laccase.
Neolane yellow,Trametes trogii,50 mg/l,300 ml culture medium,shaking,30°C,1 day,5,18%,mycelium,Complete decolorization after 24 hours with HBT.
Neolane yellow,Trametes trogii,50 mg/l,300 ml culture medium,shaking,30°C,4 days,5,39.6%,mycelium,Complete decolorization after treatment with HBT.
Neolane pink,Trametes trogii,50 mg/l,300 ml culture medium,shaking,30°C,1 day,5,63.6%,mycelium,75% decolorization after 24 hours.
Neolane pink,Trametes trogii,50 mg/l,300 ml culture medium,shaking,30°C,4 days,5,86.4%,mycelium,Efficiency consistent with treatment using purified laccase.
Maxillon blue,Trametes trogii,50 mg/l,300 ml culture medium,shaking,30°C,1 day,5,0%,mycelium,No decolorization observed.
Maxillon blue,Trametes trogii,50 mg/l,300 ml culture medium,shaking,30°C,4 days,5,0%,mycelium,Complete lack of decolorization.
Bezaktiv S-BF turquoise,Trametes trogii,50 mg/l,300 ml culture medium,shaking,30°C,1 day,5,54%,mycelium,Limited decolorization observed.
Bezaktiv S-BF turquoise,Trametes trogii,50 mg/l,300 ml culture medium,shaking,30°C,4 days,5,71%,mycelium,Noted increase in decolorization after 4 days.
Basacryl yellow,Trametes trogii,50 mg/l,300 ml culture medium,shaking,30°C,10 days,5,0%,mycelium,No decolorization detected.
