type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Malachite Green,Aspergillus flavus,10 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,
Malachite Green,Aspergillus flavus,20 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,
Malachite Green,Aspergillus flavus,30 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,
Malachite Green,Aspergillus flavus,40 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,
Malachite Green,Aspergillus flavus,50 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,97.43%,whole fungi,
Malachite Green,Alternaria solani,10 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,
Malachite Green,Alternaria solani,20 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,
Malachite Green,Alternaria solani,30 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,
Malachite Green,Alternaria solani,40 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,> 96%,whole fungi,
Malachite Green,Alternaria solani,50 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,96.91%,whole fungi,
Malachite Green,Aspergillus flavus,30 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,99.78%,whole fungi,used dye as sole source of C
Malachite Green,Alternaria solani,30 µM,not specified,static incubator,37.5°C,6 days,7.3 ± 0.2,91.72%,whole fungi,used dye as sole source of C
