paper,mean_cosine,mean_jaccard,mean_entropy,num_cv_mean,row_match_rate
A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,0.79030496,0.11824100951459442,1.0675130723572417,,0.0
Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,0.90731543,0.2859825848554274,2.639553493557512,,0.0
Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt,0.94190884,0.47725778348751896,1.3127178281297178,,0.3055555555555555
Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt,0.9153827,0.45296884185773073,1.8502410955411108,,0.14814814814814814
Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt,0.81307983,0.22550144747725395,1.6783003226775095,,0.0
Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,0.944808,0.376303171171757,1.8562918192192592,0.16490982507713473,0.31746031746031744
Bioremediation+of+direct+blue+14+and+extracellular+ligninolytic+enzyme+production+by+white+rot+fungi%3A+Pleurotus+Spp._.txt,0.8441634,0.4610088706474249,2.0558321104128887,,0.0
Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,0.9722431,0.4518304160554116,1.2594637598605287,0.05150787536377128,0.17857142857142858
Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,0.90001696,0.5501512245698292,1.4031418922078445,,0.0
Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,0.90268534,0.6436781609195402,1.1192071022235575,,0.6666666666666666
Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,0.9252284,0.35000000000000003,1.5611756735672317,,0.0
Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt,0.90986586,0.5408029878618114,1.086418705175201,0.05937504553028356,0.0
Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt,0.85516644,0.30883874097303354,2.203954442968998,,0.0
Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt,0.9506267,0.6039028343132821,1.2488997440519076,,0.0
Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,0.8530566,0.42581308731630535,1.4312397216702513,,0.0
Decolorization+of+anthraquinone-type+dye+by+bilirubin+oxidase-producing+non+ligninolytic+fungus+Myrothecium+sp.+IMER1_.txt,0.89935607,0.3802889245585875,1.5529852451341293,,0.0
Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt,0.8194895,0.4588007812066535,1.690565518036834,0.023112295309590143,0.0
Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt,0.988035,0.40716999050332386,1.4908864826949049,,0.634920634920635
Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,0.9259561,0.48494734432234426,1.1106768417632629,0.3533910239300182,0.19047619047619047
Decolorization+of+molasses+and+a+dye+by+a+newly+isolated+strain+of+the+fungus+Geotrichum+candidum+Dec+1_.txt,0.8715191,0.2848680327177671,2.100077697480665,,0.0
Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt,0.9393646,0.4234899205075711,1.9518683717038188,,0.0
Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt,0.87901145,0.4440314587373411,1.1442731496682212,,0.0
Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,0.9337382,0.3663920099875156,1.535144290288425,,0.2380952380952381
Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,0.9492939,0.600941604106161,1.4747931192659791,,0.0
Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,0.89184046,0.44392847296073107,1.4477102276005258,,0.0
Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt,0.8997496,0.3119147002867933,2.2933221587411285,,0.0
Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt,0.87872267,0.31860722725877944,1.7207616966600687,,0.0
Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt,0.921784,0.426108281456329,1.517077190181029,,0.0
Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt,0.9112167,0.35807003584781366,1.1380274800262584,,0.0
Effect+of+Glucose+Addition+on+Laccase+Production_.txt,0.8670352,0.4250128008192524,1.7559040009720552,,0.3055555555555555
Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,0.8840913,0.3129813021117369,1.1522340435580014,,0.0
Induction+of+ligninolytic+enzyme+production+by+Dichomitus+squalens+on+various+types+of+immobilization+support_.txt,0.90001553,0.38476021820550405,1.2048798379119268,,0.0
Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,0.8105648,0.25460245645498764,2.034390597367864,,0.0
Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt,0.95617074,0.34623586290252956,1.6287591918240063,,0.0
Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,0.89727813,0.5476247696867741,1.4574372766879187,,0.0
Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,0.7001157,0.3224799081515499,2.3404589551562807,,0.0
The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,0.92003965,0.259267434198394,2.3717226171460584,,0.0
The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+Irpex+lacteus_.txt,0.8011446,0.4347008218456468,1.2879566956511133,,0.0
White+rot+fungi%3A+an+ingenious+army+for+environmental+protection_.txt,0.9647592,0.3219706712939336,1.3965806458165595,,0.0
