paper,mean_cosine,mean_jaccard,mean_entropy,num_cv_mean,row_match_rate
A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_.txt,0.793492,0.11824100951459442,1.0675130723572417,,0.0
Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_.txt,0.9046674,0.2909465020576132,1.7833189789555866,,0.0
Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,0.76492244,0.31227553310886647,1.48230386048885,0.03998989856459333,0.0
Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,0.9306922,0.2859825848554274,2.639553493557512,0.6381259907692302,0.0
Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt,0.94227505,0.47725778348751896,1.312717828129718,0.19364916731037085,0.3055555555555555
Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt,0.850437,0.45296884185773073,1.8502410955411106,0.05692279057829841,0.14814814814814814
Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,0.942972,0.39775743373069977,1.6519238915732009,0.06647769219777849,0.0
Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt,0.88750666,0.22550144747725395,1.6783003226775095,,0.0
Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,0.8288873,0.4397032338892804,1.1011489424190257,,0.0
Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,0.95138025,0.376303171171757,1.8562918192192592,0.16490982507713473,0.31746031746031744
Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,0.96514696,0.5679779158040028,1.5874995547321347,0.18860334716140936,0.43915343915343913
Bioremediation+of+direct+blue+14+and+extracellular+ligninolytic+enzyme+production+by+white+rot+fungi%3A+Pleurotus+Spp._.txt,0.81746715,0.4610088706474249,2.0558321104128887,0.04300130725961134,0.0
Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,0.97017926,0.4518304160554116,1.2594637598605287,0.05150787536377128,0.17857142857142858
Catalytic+behavior+and+detoxifying+ability+of+an+atypical+homotrimeric+laccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt,0.90556735,0.3610385301314752,1.2797690040775456,0.05263157894736842,0.08333333333333333
Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.txt,0.91843194,0.4346108766994843,1.5176185631474988,0.027593075944844662,0.0
Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,0.8389875,0.5501512245698292,1.4031418922078445,,0.0
