type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Remazol Brilliant Blue R (RBBR),Myrothecium sp. IMER1,60 mg/L,not specified,shaking,28°C,6 days,5.0,60-70%,mycelium,N/A
Remazol Brilliant Blue R (RBBR),Myrothecium sp. IMER1,60 mg/L,not specified,shaking,28°C,6 days,6.0,60-70%,mycelium,N/A
Remazol Brilliant Blue R (RBBR),Myrothecium sp. IMER1,60 mg/L,not specified,shaking,28°C,6 days,8.0,>65%,mycelium,N/A
Remazol Brilliant Blue R (RBBR),Myrothecium sp. IMER1,60 mg/L,not specified,shaking,28°C,6 days,9.0,70%,mycelium,N/A
dye effluents,Myrothecium sp. IMER1,30% (v/v),not specified,shaking,28°C,6 days,7.0,73%,mycelium,N/A
dye effluents,Myrothecium sp. IMER1,30% (v/v),not specified,shaking,28°C,6 days,9.0,70%,mycelium,N/A
Indigo Carmine,Myrothecium sp. IMER1,60 mg/L,not specified,not specified,not specified,6 days,not specified,>78 mm decolorized zone,mycelium,Extensive decolorization observed.
Congo Red,Myrothecium sp. IMER1,60 mg/L,not specified,not specified,not specified,6 days,not specified,Partial,mycelium,N/A
Malachite Green,Myrothecium sp. IMER1,60 mg/L,not specified,not specified,not specified,6 days,not specified,Partial,mycelium,N/A
Bromophenol Blue,Myrothecium sp. IMER1,60 mg/L,not specified,not specified,not specified,6 days,not specified,Little,mycelium,N/A
