type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking,30 °C,24 h,not specified,30.86%,whole fungi,not specified
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking,30 °C,48 h,not specified,35.17%,whole fungi,not specified
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking,30 °C,72 h,not specified,44.29%,whole fungi,not specified
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,not specified,shaking,30 °C,24 h,not specified,20.42%,whole fungi,not specified
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,not specified,shaking,30 °C,48 h,not specified,26.39%,whole fungi,not specified
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,not specified,shaking,30 °C,72 h,not specified,33.16%,whole fungi,not specified
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking,30 °C,24 h,not specified,24.86%,whole fungi,not specified
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking,30 °C,48 h,not specified,30.89%,whole fungi,not specified
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking,30 °C,72 h,not specified,50.33%,whole fungi,not specified
Acid fast red,Phanerochaete chrysosporium,67 mg/L,not specified,shaking,30 °C,24 h,not specified,12.67%,whole fungi,not specified
Acid fast red,Phanerochaete chrysosporium,67 mg/L,not specified,shaking,30 °C,48 h,not specified,13.61%,whole fungi,not specified
Acid fast red,Phanerochaete chrysosporium,67 mg/L,not specified,shaking,30 °C,72 h,not specified,21.94%,whole fungi,not specified
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking,30 °C,24 h,not specified,78.27%,whole fungi,not specified
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking,30 °C,48 h,not specified,84.37%,whole fungi,not specified
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking,30 °C,72 h,not specified,89.56%,whole fungi,not specified
Reactive black 5,Phanerochaete chrysosporium,100 mg/L,not specified,shaking,30 °C,24 h,not specified,23.25%,whole fungi,not specified
Reactive black 5,Phanerochaete chrysosporium,100 mg/L,not specified,shaking,30 °C,48 h,not specified,39.77%,whole fungi,not specified
Reactive black 5,Phanerochaete chrysosporium,100 mg/L,not specified,shaking,30 °C,72 h,not specified,52.72%,whole fungi,not specified
Congo red,Pleurotus ostreatus,20 mg/L,not specified,shaking,30 °C,24 h,not specified,88.16%,whole fungi,not specified
Congo red,Pleurotus ostreatus,20 mg/L,not specified,shaking,30 °C,48 h,not specified,89.40%,whole fungi,not specified
Congo red,Pleurotus ostreatus,20 mg/L,not specified,shaking,30 °C,72 h,not specified,91.52%,whole fungi,not specified
Congo red,Phanerochaete chrysosporium,20 mg/L,not specified,shaking,30 °C,24 h,not specified,21.87%,whole fungi,not specified
Congo red,Phanerochaete chrysosporium,20 mg/L,not specified,shaking,30 °C,48 h,not specified,36.99%,whole fungi,not specified
Congo red,Phanerochaete chrysosporium,20 mg/L,not specified,shaking,30 °C,72 h,not specified,43.42%,whole fungi,not specified
Methylene blue,Pleurotus ostreatus,3.3 mg/L,not specified,shaking,30 °C,24 h,not specified,42.49%,whole fungi,not specified
Methylene blue,Pleurotus ostreatus,3.3 mg/L,not specified,shaking,30 °C,48 h,not specified,42.49%,whole fungi,not specified
Methylene blue,Pleurotus ostreatus,3.3 mg/L,not specified,shaking,30 °C,72 h,not specified,42.49%,whole fungi,not specified
Methylene blue,Phanerochaete chrysosporium,3.3 mg/L,not specified,shaking,30 °C,24 h,not specified,14.83%,whole fungi,not specified
Methylene blue,Phanerochaete chrysosporium,3.3 mg/L,not specified,shaking,30 °C,48 h,not specified,18.52%,whole fungi,not specified
Methylene blue,Phanerochaete chrysosporium,3.3 mg/L,not specified,shaking,30 °C,72 h,not specified,44.12%,whole fungi,not specified
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,not specified,shaking,30 °C,24 h,not specified,88.16%,,
