type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Neolane yellow,Trametes trogii,50 mg/L,not specified,not specified,30°C,1 day,not specified,18%,mycelium,Crude enzyme
Neolane yellow,Trametes trogii,50 mg/L,not specified,not specified,30°C,4 days,not specified,39.6%,mycelium,Crude enzyme
Neolane yellow,Trametes trogii,50 mg/L,not specified,not specified,30°C,1 day,not specified,100%,mycelium,Crude enzyme with HBT
Neolane yellow,Trametes trogii,50 mg/L,not specified,not specified,30°C,4 days,not specified,100%,mycelium,Crude enzyme with HBT
Maxillon blue,Trametes trogii,50 mg/L,not specified,not specified,30°C,1 day,not specified,0%,mycelium,Crude enzyme
Maxillon blue,Trametes trogii,50 mg/L,not specified,not specified,30°C,4 days,not specified,0%,mycelium,Crude enzyme
Neolane pink,Trametes trogii,50 mg/L,not specified,not specified,30°C,1 day,not specified,63.6%,mycelium,Crude enzyme
Neolane pink,Trametes trogii,50 mg/L,not specified,not specified,30°C,4 days,not specified,86.4%,mycelium,Crude enzyme
Basacryl yellow,Trametes trogii,50 mg/L,not specified,not specified,30°C,10 days,not specified,0%,mycelium,Crude enzyme
Bezaktiv S-BF turquoise,Trametes trogii,50 mg/L,not specified,not specified,30°C,1 day,not specified,54%,mycelium,Crude enzyme
Bezaktiv S-BF turquoise,Trametes trogii,50 mg/L,not specified,not specified,30°C,4 days,not specified,71%,mycelium,Crude enzyme
Neolane yellow,Trametes trogii,50 mg/L,not specified,not specified,30°C,1 day,not specified,26.6%,mycelium,Pure enzyme
Neolane yellow,Trametes trogii,50 mg/L,not specified,not specified,30°C,4 days,not specified,40.5%,mycelium,Pure enzyme
Maxillon blue,Trametes trogii,50 mg/L,not specified,not specified,30°C,1 day,not specified,15.14%,mycelium,Pure enzyme with HBT
Neolane blue,Trametes trogii,50 mg/L,not specified,not specified,30°C,1 day,not specified,91.5%,mycelium,Pure enzyme
Neolane blue,Trametes trogii,50 mg/L,not specified,not specified,30°C,4 days,not specified,91.2%,mycelium,Pure enzyme
Bezaktiv S-BF turquoise,Trametes trogii,50 mg/L,not specified,not specified,30°C,1 day,not specified,53%,mycelium,Pure enzyme
Bezaktiv S-BF turquoise,Trametes trogii,50 mg/L,not specified,not specified,30°C,4 days,not specified,68.5%,mycelium,Pure enzyme
