type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Malachite Green,Fomes sclerodermeus,2 µM,not specified,static,28 °C,7 days,not specified,delayed growth; decolorized,mycelium,Radial growth after 7 days.
Malachite Green,Fomes sclerodermeus,32 µM,not specified,static,28 °C,7 days,not specified,not specified,mycelium,Radial growth after 7 days.
Malachite Green,Phanerochaete chrysosporium,64 µM,not specified,static,28 °C,7 days,not specified,unable to grow,mycelium,Growth kinetics was severely delayed.
Malachite Green,Phanerochaete chrysosporium,32 µM,not specified,static,28 °C,7 days,not specified,delayed growth,mycelium,Radial growth was affected.
Malachite Green,Fomes sclerodermeus,not specified,not specified,not specified,30 °C,24 h,3.5,by 200-fold with 1-HBT,not specified,Laccase activity measured.
Decolorized Malachite Green (DMG),Phanerochaete chrysosporium,2 µM,not specified,static,28 °C,7 days,not specified,not toxic,mycelium,Comparable growth kinetics.
Decolorized Malachite Green (DMG),Coriolus versicolor,40 µM,not specified,not specified,not specified,7 days,not specified,delayed growth,mycelium,Growth kinetics similar to MG.
Decolorized Malachite Green (DMG),Pleurotus lindquistii,40 µM,not specified,not specified,not specified,7 days,not specified,reduced growth,mycelium,Radial growth was recorded.
Decolorized Malachite Green (DMG),Spongipellis fissilis,not specified,not specified,not specified,not specified,not specified,not specified,not specified,mycelium,Radial growth noted.
Decolorized Malachite Green (DMG),Trametes extenuata,not specified,not specified,not specified,not specified,not specified,not specified,not specified,mycelium,Radial growth noted.
