type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
malachite green,Pleurotus eryngii,10 mg/L,10 g/L,shaking,25°C,120 min,7.0,47.2%,mycelium,
malachite green,Pleurotus eryngii,20 mg/L,10 g/L,shaking,25°C,120 min,7.0,not specified,mycelium,maximum decolorization percentage: 97.4% at pH 6
malachite green,Pleurotus eryngii,50 mg/L,10 g/L,shaking,25°C,120 min,7.0,not specified,mycelium,
malachite green,Pleurotus eryngii,100 mg/L,10 g/L,shaking,25°C,120 min,7.0,not specified,mycelium,
malachite green,Pleurotus eryngii,150 mg/L,10 g/L,shaking,25°C,120 min,7.0,2.32%,mycelium,
malachite green,Pleurotus eryngii,10 mg/L,10 g/L,shaking,30°C,120 min,4.0,not specified,mycelium,
malachite green,Pleurotus eryngii,10 mg/L,10 g/L,shaking,30°C,120 min,5.0,not specified,mycelium,
malachite green,Pleurotus eryngii,10 mg/L,10 g/L,shaking,30°C,120 min,6.0,not specified,mycelium,
malachite green,Pleurotus eryngii,10 mg/L,10 g/L,shaking,30°C,120 min,9.0,93.6%,mycelium,
malachite green,Pleurotus eryngii,10 mg/L,not specified,not specified,30°C,2 h,not specified,97.5%,not specified,DyP-PE enzyme at concentration 0.05 mg/mL
