type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Reactive yellow (4GL),Aspergillus niger D2-1,50 ppm,not specified,shaking,not specified,7 days,not specified,67.68%,whole fungi,Control: 0.14% 
Reactive yellow (4GL),Aspergillus niger D2-1,100 ppm,not specified,shaking,not specified,7 days,not specified,42.14%,whole fungi,Control: 0.12%
Reactive yellow (4GL),Aspergillus niger D2-1,150 ppm,not specified,shaking,not specified,7 days,not specified,10.19%,whole fungi,Control: 0.02%
Reactive yellow (4GL),Aspergillus niger D2-1,200 ppm,not specified,shaking,not specified,7 days,not specified,4.08%,whole fungi,Control: 0.02%
Reactive yellow (4GL),Aspergillus niger D2-1,250 ppm,not specified,shaking,not specified,7 days,not specified,0.08%,whole fungi,Control: 0.00%
Reactive yellow (4GL),Aspergillus niger D2-1,350 ppm,not specified,shaking,not specified,7 days,not specified,0.01%,whole fungi,Control: 0.01%
Reactive yellow (4GL),Aspergillus niger D2-1,500 ppm,not specified,shaking,not specified,7 days,not specified,0.01%,whole fungi,Control: 0.00%
Reactive yellow (4GL),Aspergillus niger D2-1,650 ppm,not specified,shaking,not specified,7 days,not specified,0.38%,whole fungi,Control: 0.00%
Reactive red (4BL),Aspergillus niger D2-1,50 ppm,not specified,shaking,not specified,7 days,not specified,54.84%,whole fungi,Control: 0.21%
Reactive red (4BL),Aspergillus niger D2-1,100 ppm,not specified,shaking,not specified,7 days,not specified,29.74%,whole fungi,Control: 0.30%
Reactive red (4BL),Aspergillus niger D2-1,150 ppm,not specified,shaking,not specified,7 days,not specified,8.69%,whole fungi,Control: 1.53%
Reactive red (4BL),Aspergillus niger D2-1,200 ppm,not specified,shaking,not specified,7 days,not specified,4.95%,whole fungi,Control: 0.11%
Reactive red (4BL),Aspergillus niger D2-1,250 ppm,not specified,shaking,not specified,7 days,not specified,0.03%,whole fungi,Control: 0.25%
Reactive red (4BL),Aspergillus niger D2-1,350 ppm,not specified,shaking,not specified,7 days,not specified,0.00%,whole fungi,Control: 0.01%
Reactive red (4BL),Aspergillus niger D2-1,500 ppm,not specified,shaking,not specified,7 days,not specified,0.01%,whole fungi,Control: 0.00%
Reactive red (4BL),Aspergillus niger D2-1,650 ppm,not specified,shaking,not specified,7 days,not specified,0.00%,whole fungi,Control: 0.00%
