type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Poly R-478,Bjerkandera sp. BOS55,0.2 g/L,not specified,static,30 °C,30 days,not specified,70-80%,mycelium,Higher activity than known strains in the same medium.
Poly R-478,P. chrysosporium,0.2 g/L,not specified,static,37 °C,30 days,not specified,not specified,mycelium,Compared in decolorization rates to Bjerkandera sp. BOS55.
Poly R-478,T. versicolor,0.2 g/L,not specified,static,not specified,30 days,not specified,not specified,mycelium,Included for comparative purposes.
Poly R-478,Agaricales B47,0.2 g/L,not specified,static,not specified,30 days,not specified,not specified,mycelium,Showed significant oxidation activity.
Poly R-478,T. versicolor,0.2 g/L,not specified,not specified,not specified,30 days,not specified,not specified,mycelium,Results compared with other strains.
veratryl alcohol,P. simplicissimum,not specified,not specified,stirring,30 °C,not specified,not specified,produced veratraldehyde,mycelium,Utilized NAD(P)+-dependent pathway.
veratryl alcohol,P. simplicissimum CBS 170.90,not specified,not specified,not specified,30 °C,not specified,5.2,produced veratric acid and vanillic acid,mycelium,Sequential substrate metabolization observed.
lignin,B. adusta,not specified,not specified,not specified,not specified,not specified,not specified,not specified,whole fungi,Analyzed for similarities in aromatic compounds.
"2,6-Dimethoxyphenol (DMP)",Bjerkandera sp. BOS55,not specified,not specified,static,not specified,not specified,not specified,oxidized,mycelium,Operated without Mn.
"3,4-Dimethoxycinnamic acid",Penicillium simplicissimum,0.1%,not specified,static,30 °C,1 month,not specified,growth,mycelium,Utilized this compound as a main energy source.
