type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Congo Red,Fusarium oxysporum,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,mycelium,not specified
Congo Red,Ganoderma lucidum,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,mycelium,not specified
Congo Red,Pycnoporus cinnabarinus,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,mycelium,not specified
Congo Red,Pleurotus pulmonarius,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,mycelium,not specified
Congo Red,Stereum ostrea,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,mycelium,not specified
Congo Red,Trametes suaveolens,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,mycelium,not specified
Congo Red,Aspergillus niger,200 mg/L,not specified,static,30°C,6 days,not specified,not specified,mycelium,Figure 2: decolorization process
Reactive Orange 16,Ganoderma spp.,not specified,not specified,not specified,not specified,not specified,not specified,not specified,mycelium,not specified
Direct Blue-1,Aspergillus terreus,not specified,not specified,not specified,not specified,not specified,not specified,not specified,mycelium,not specified
Methyl orange,Bacillus spp.,100 mg/L,not specified,not specified,not specified,not specified,not specified,100%,mycelium,not specified
