type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Methyl Orange,Candida zeylanoides,0.2 mM,not specified,shaking,26 °C,40 h,4.0,95%,whole fungi,Complete decolorization achieved.
Methyl Orange,Issatchenkia occidental,0.2 mM,not specified,shaking,26 °C,15 h,4.0,80%,whole fungi,Decolorization occurred under microaerophilic conditions.
Methyl Orange,Saccharomyces cerevisiae,0.2 mM,not specified,shaking,26 °C,8.5 h,4.0,Complete,whole fungi,Efficiency of azo dye reduction during exponential growth phase.
Orange II,Candida zeylanoides,0.2 mM,not specified,shaking,26 °C,25 h,4.0,Complete,whole fungi,Resulting amines used as nitrogen source.
Orange II,Issatchenkia occidental,0.2 mM,not specified,shaking,26 °C,24 h,4.0,80%,whole fungi,Decolorization occurred under microaerophilic conditions.
Orange II,Saccharomyces cerevisiae,0.2 mM,not specified,shaking,26 °C,12 h,4.0,Complete,whole fungi,Decolorization only after glucose exhaustion.
Amaranth,Candida zeylanoides,0.2 mM,not specified,shaking,26 °C,12 h,4.0,Complete,whole fungi,Used products for nitrogen assimilation.
Amaranth,Issatchenkia occidental,0.2 mM,not specified,shaking,26 °C,15 h,4.0,Complete,whole fungi,Used 1-amino-2-naphthol as nitrogen and carbon source.
Amaranth,Saccharomyces cerevisiae,0.2 mM,not specified,shaking,26 °C,8.5 h,4.0,Complete,whole fungi,Amine products assimilated.
Reactive Black 5,Bacterial consortium (Bacillus sp.),0.2 mM,not specified,stirring,55 °C,24 h,9,91.5%,not applicable,HRT of 24 h and COD removal efficiency of 89.0%.
