type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,13 days,not specified,complete,mycelium,Solid and liquid media
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,complete,mycelium,Solid and liquid media
Reactive Golden Yellow HR,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,complete,mycelium,Solid and liquid media
Reactive Violet 5R,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,complete,mycelium,Solid and liquid media
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,not specified,not specified,not specified,not specified,not specified,inhibited by sodium nitrite,mycelium,Effect of nitrogen sources
Reactive Red HE8B,Phanerochaete chrysosporium,50 mg/L,not specified,static,27 °C,not specified,not specified,moderate,mycelium,Solid and liquid media
Reactive Black B,Phanerochaete chrysosporium,50 mg/L,not specified,static,27 °C,not specified,not specified,moderate,mycelium,Solid and liquid media
Reactive Golden Yellow HR,Phanerochaete chrysosporium,50 mg/L,not specified,static,27 °C,not specified,not specified,moderate,mycelium,Solid and liquid media
Reactive Violet 5R,Phanerochaete chrysosporium,50 mg/L,not specified,static,27 °C,not specified,not specified,moderate,mycelium,Solid and liquid media
Reactive Red HE8B,Phanerochaete chrysosporium,100 mg/L,not specified,static,27 °C,not specified,not specified,not complete,mycelium,Solid and liquid media
Reactive Black B,Phanerochaete chrysosporium,100 mg/L,not specified,static,27 °C,not specified,not specified,not complete,mycelium,Solid and liquid media
Reactive Golden Yellow HR,Phanerochaete chrysosporium,100 mg/L,not specified,static,27 °C,not specified,not specified,not complete,mycelium,Solid and liquid media
Reactive Violet 5R,Phanerochaete chrysosporium,100 mg/L,not specified,static,27 °C,not specified,not specified,not complete,mycelium,Solid and liquid media
