type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Malachite Green,Trametes versicolor,7 mg/L,not specified,not specified,28 °C,20 days,not specified,95%,mycelium,0.5 mM copper inducer
Malachite Green,Fomes fomentarius,7 mg/L,not specified,not specified,28 °C,20 days,not specified,70%,mycelium,0.5 mM copper inducer
Bromothymol Blue,Trametes versicolor,50 mg/L,not specified,not specified,28 °C,20 days,not specified,95%,mycelium,0.5 mM copper inducer
Bromothymol Blue,Fomes fomentarius,50 mg/L,not specified,not specified,28 °C,20 days,not specified,70%,mycelium,0.5 mM copper inducer
Methyl Red,Trametes versicolor,100 mg/L,not specified,not specified,28 °C,20 days,not specified,80%,mycelium,0.5 mM copper inducer
Methyl Red,Fomes fomentarius,100 mg/L,not specified,not specified,28 °C,20 days,not specified,80%,mycelium,0.5 mM copper inducer
Crystal Violet,Trametes versicolor,20 mg/L,not specified,not specified,28 °C,20 days,not specified,not specified,mycelium,0.5 mM copper inducer
Crystal Violet,Fomes fomentarius,20 mg/L,not specified,not specified,28 °C,20 days,not specified,not specified,mycelium,0.5 mM copper inducer
Methylene Blue,Trametes versicolor,240 mg/L,not specified,not specified,28 °C,20 days,not specified,not specified,mycelium,0.5 mM copper inducer
Methylene Blue,Fomes fomentarius,240 mg/L,not specified,not specified,28 °C,20 days,not specified,not specified,mycelium,0.5 mM copper inducer
