type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
indigo carmine,Coriolus antarcticus,100 µM,not specified,not specified,30 °C,5 h,5.2,93%,whole fungi,not specified
malachite green,Coriolus antarcticus,100 µM,not specified,not specified,30 °C,5 h,5.2,86%,whole fungi,not specified
azure B,Coriolus antarcticus,100 µM,not specified,not specified,30 °C,5 h,5.2,82%,whole fungi,not specified
remazol brilliant blue R,Coriolus antarcticus,100 µM,not specified,not specified,30 °C,5 h,5.2,82%,whole fungi,not specified
crystal violet,Coriolus antarcticus,100 µM,not specified,not specified,30 °C,5 h,5.2,77%,whole fungi,not specified
xylidine,Coriolus antarcticus,100 µM,not specified,not specified,30 °C,5 h,5.2,58%,whole fungi,not specified
indigo carmine,Trametes trogii,100 µM,not specified,not specified,30 °C,5 h,5.2,26.4%,whole fungi,not specified
malachite green,Trametes trogii,100 µM,not specified,not specified,30 °C,5 h,5.2,3.6%,whole fungi,not specified
azure B,Trametes trogii,100 µM,not specified,not specified,30 °C,5 h,5.2,14.7%,whole fungi,not specified
remazol brilliant blue R,Trametes trogii,100 µM,not specified,not specified,30 °C,5 h,5.2,3.8%,whole fungi,not specified
crystal violet,Trametes trogii,100 µM,not specified,not specified,30 °C,5 h,5.2,18.4%,whole fungi,not specified
xylidine,Trametes trogii,100 µM,not specified,not specified,30 °C,5 h,5.2,9.6%,whole fungi,not specified
malachite green,Stereum hirsutum,100 µM,not specified,not specified,30 °C,5 h,5.2,24.5%,whole fungi,not specified
azure B,Stereum hirsutum,100 µM,not specified,not specified,30 °C,5 h,5.2,3.5%,whole fungi,not specified
indigo carmine,Stereum hirsutum,100 µM,not specified,not specified,30 °C,5 h,5.2,29.3%,whole fungi,not specified
remazol brilliant blue R,Stereum hirsutum,100 µM,not specified,not specified,30 °C,5 h,5.2,6.4%,whole fungi,not specified
crystal violet,Stereum hirsutum,100 µM,not specified,not specified,30 °C,5 h,5.2,8.4%,whole fungi,not specified
