type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
not specified,Aspergillus niger strain 13A,not specified,3 ml of 1 × 106 spore suspension,shaking,35 °C,14 days,not specified,not applicable,mycelium,Production of cellulase using waste paper.
not specified,Aspergillus niger strain 13A,not specified,3 ml of 1 × 106 spore suspension,not specified,20 °C,6 days,4,not applicable,mycelium,"Mycelial dry weight 0.21 ± 0.02g/100 ml, CMC-ase 0.82 ± 0.018 IU/ml, FP-ase 0.13 ± 0.01 IU/ml."
not specified,Aspergillus niger strain 13A,not specified,3 ml of 1 × 106 spore suspension,not specified,25 °C,6 days,5,not applicable,mycelium,"Mycelial dry weight 0.32 ± 0.025g/100 ml, CMC-ase 1.07 ± 0.074 IU/ml, FP-ase 0.18 ± 0.042 IU/ml."
not specified,Aspergillus niger strain 13A,not specified,3 ml of 1 × 106 spore suspension,not specified,35 °C,6 days,6,not applicable,mycelium,"Mycelial dry weight 0.37 ± 0.026g/100 ml, CMC-ase 1.24 ± 0.049 IU/ml, FP-ase 0.27 ± 0.025 IU/ml."
not specified,Aspergillus niger strain 13A,not specified,3 ml of 1 × 106 spore suspension,not specified,40 °C,6 days,6,not applicable,mycelium,"Mycelial dry weight 0.46 ± 0.036g/100 ml, CMC-ase 1.09 ± 0.015 IU/ml, FP-ase 0.26 ± 0.039 IU/ml."
not specified,Aspergillus niger strain 13A,not specified,3 ml of 1 × 106 spore suspension,not specified,45 °C,6 days,6,not applicable,mycelium,"Mycelial dry weight 0.26 ± 0.047g/100 ml, CMC-ase 0.61 ± 0.032 IU/ml, FP-ase 0.15 ± 0.092 IU/ml."
not specified,Aspergillus niger strain 13A,not specified,3 ml of 1 × 106 spore suspension,not specified,50 °C,6 days,6,not applicable,mycelium,"Mycelial dry weight 0.22 ± 0.031g/100 ml, CMC-ase 0.33 ± 0.026 IU/ml, FP-ase 0.006 ± 0.065 IU/ml."
not specified,Aspergillus niger strain 13A,not specified,3 ml of 1 × 106 spore suspension,not specified,35 °C,14 days,not specified,not applicable,mycelium,Highest cellulase production observed with kraft brown bags and cardboard.
not specified,Fusarium oxysporum,not specified,not specified,not specified,not specified,10 days,not specified,inhibition of growth,not applicable,Inhibition rate of Aspergillus niger strain 13A on Fusarium oxysporum ranged from 63.27 to 78.5%.
not specified,Aspergillus niger strain 13A,not specified,not specified,not specified,not specified,42 days,not specified,complete degradation,not applicable,Bioorganic materials produced for controlling Fusarium wilt in cucumber.
