type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Congo red,Aspergillus niger,0.01% (w/v),not specified,stationary,25°C,10 days,not specified,74.07%,mycelium,
Congo red,Fusarium oxysporum,0.01% (w/v),not specified,stationary,25°C,10 days,not specified,78.9%,mycelium,
Congo red,Trichoderma lignorum,0.01% (w/v),not specified,stationary,25°C,10 days,not specified,35.25%,mycelium,
Crystal violet,Aspergillus niger,0.01% (w/v),not specified,stationary,25°C,10 days,not specified,33.82%,mycelium,
Crystal violet,Fusarium oxysporum,0.01% (w/v),not specified,stationary,25°C,10 days,not specified,53.4%,mycelium,
Crystal violet,Trichoderma lignorum,0.01% (w/v),not specified,stationary,25°C,10 days,not specified,92.7%,mycelium,
Methylene blue,Aspergillus niger,0.01% (w/v),not specified,stationary,25°C,10 days,not specified,22.44%,mycelium,
Methylene blue,Fusarium oxysporum,0.01% (w/v),not specified,stationary,25°C,10 days,not specified,48.5%,mycelium,
Methylene blue,Trichoderma lignorum,0.01% (w/v),not specified,stationary,25°C,10 days,not specified,48.3%,mycelium,
Congo red,Aspergillus niger,0.01% (w/v),not specified,shaking,25°C,10 days,not specified,85.5%,mycelium,
Congo red,Fusarium oxysporum,0.01% (w/v),not specified,shaking,25°C,10 days,not specified,90%,mycelium,
Congo red,Trichoderma lignorum,0.01% (w/v),not specified,shaking,25°C,10 days,not specified,91%,mycelium,
Crystal violet,Aspergillus niger,0.01% (w/v),not specified,shaking,25°C,10 days,not specified,78.8%,mycelium,
Crystal violet,Fusarium oxysporum,0.01% (w/v),not specified,shaking,25°C,10 days,not specified,56.1%,mycelium,
Crystal violet,Trichoderma lignorum,0.01% (w/v),not specified,shaking,25°C,10 days,not specified,96.6%,mycelium,
Methylene blue,Aspergillus niger,0.01% (w/v),not specified,shaking,25°C,10 days,not specified,not specified,mycelium,
Methylene blue,Fusarium oxysporum,0.01% (w/v),not specified,shaking,25°C,10 days,not specified,53.4%,mycelium,
Methylene blue,Trichoderma lignorum,0.01% (w/v),not specified,shaking,25°C,10 days,not specified,85.2%,mycelium,
