type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Cibacron Red C-2G,not specified,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,not specified,using corncob shreds and wheat straw
Remazol Navy Blue GG,not specified,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,not specified,using corncob shreds and wheat straw
Remazol Red RB,not specified,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,not specified,using corncob shreds and wheat straw
Cibacron Orange CG,not specified,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,not specified,using corncob shreds and wheat straw
Remazol Golden Yellow RNL,not specified,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,not specified,using corncob shreds and wheat straw
Hisperse Navy D2GR,not specified,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,not specified,using corncob shreds and wheat straw
Remazol Blue B,not specified,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,not specified,using corncob shreds and wheat straw
Remazol Turquoise Blue G 133,not specified,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,not specified,using corncob shreds and wheat straw
Remazol Black B,Coriolus versicolor,not specified,not specified,not specified,not specified,not specified,not specified,53%,mycelium,solid-state fermentation with dye-adsorbed substrates
various synthetic dyes,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,53.6% to 86.9% depending on nitrogen content,mycelium,compared performance in nitrogen-rich and nitrogen-limited mediums
