type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Reactive Blue 25,Aspergillus ochraceus NCIM-1146,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"dye bleached by mycelium, laccase accompanied by lignin peroxidase"
Reactive Blue 25,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"laccase broke down phthalocyanine macrocycle, leading to intermediates"
Sudan Orange G,"CotA-Laccase, Bacillus subtilis",not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,efficiently degraded majority of tested azo dyes
"2,6-dimethoxy-4-(4'-sulfophenylazo)-phenol",Pyricularia oryzae,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,oxidative cleavage of dye molecules observed
Hydroxyanthraquinones,Pleurotus ostreatus,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,more efficient in bleaching compared to Phanerochaete chrysosporium
Alizarin Red S,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,degraded under mild experimental conditions by immobilized metalloporphine
Methylene Blue,various laccases,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,may not be an ideal substrate due to lack of reactive groups
Azure B,various laccases,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,more efficient bleaching observed compared to Methylene Blue
Crystal Violet,Trametes versicolor,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,decolorization inhibited by presence of positive charge in the dye
Alkaline resistant and organic solvent tolerant dyes,Bacillus licheniformis,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,ability to decolorize various synthetic dyes due to high stability and activity at alkaline pH
