type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,13 days,not specified,100%,fungal mass,complete decolorization in liquid medium; more recalcitrant nature
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,100%,fungal mass,complete decolorization in liquid medium
Reactive Golden Yellow HR,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,100%,fungal mass,complete decolorization in liquid medium
Reactive Violet 5R,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,100%,fungal mass,complete decolorization in liquid medium
Reactive Red HE8B,Phanerochaete chrysosporium,50 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"decolorization not specified, explored varying conditions"
Reactive Black B,Phanerochaete chrysosporium,50 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"decolorization not specified, explored varying conditions"
Reactive Golden Yellow HR,Phanerochaete chrysosporium,50 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"decolorization not specified, explored varying conditions"
Reactive Violet 5R,Phanerochaete chrysosporium,50 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"decolorization not specified, explored varying conditions"
Reactive Red HE8B,Phanerochaete chrysosporium,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"decolorization not specified, explored varying conditions"
Reactive Black B,Phanerochaete chrysosporium,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"decolorization not specified, explored varying conditions"
Reactive Golden Yellow HR,Phanerochaete chrysosporium,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"decolorization not specified, explored varying conditions"
Reactive Violet 5R,Phanerochaete chrysosporium,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"decolorization not specified, explored varying conditions"
