type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Disperse Blue 64,Aspergillus flavus,50 mg/L,not specified,static,30°C,48 h,7.0,>99%,mycelium,tested at concentration of 50 mg/L
Acid Yellow 17,Aspergillus flavus,50 mg/L,not specified,static,30°C,48 h,7.0,>99%,mycelium,tested at concentration of 50 mg/L
Disperse Blue 64,Aspergillus flavus,300 mg/L,not specified,static,30°C,48 h,7.0,55.2%,mycelium,tested at concentration of 300 mg/L
Acid Yellow 17,Aspergillus flavus,300 mg/L,not specified,static,30°C,48 h,7.0,57.6%,mycelium,tested at concentration of 300 mg/L
Disperse Blue 64,Pseudomonas aeruginosa,50 mg/L,not specified,static,30°C,48 h,7.0,96.7%,not applicable,tested at concentration of 50 mg/L
Acid Yellow 17,Pseudomonas aeruginosa,50 mg/L,not specified,static,30°C,48 h,7.0,90.1%,not applicable,tested at concentration of 50 mg/L
Disperse Blue 64,Pseudomonas aeruginosa,300 mg/L,not specified,static,30°C,48 h,7.0,30.3%,not applicable,tested at concentration of 300 mg/L
Acid Yellow 17,Pseudomonas aeruginosa,300 mg/L,not specified,static,30°C,48 h,7.0,4.6%,not applicable,tested at concentration of 300 mg/L
Disperse Blue 64,consortium,50 mg/L,not specified,static,30°C,48 h,7.0,>99%,not applicable,tested at concentration of 50 mg/L
Acid Yellow 17,consortium,50 mg/L,not specified,static,30°C,48 h,7.0,>99%,not applicable,tested at concentration of 50 mg/L
