type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking (150 rpm),30 °C,24 h,not specified,30.86%,not specified,first 24h measurement
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking (150 rpm),30 °C,48 h,not specified,35.17%,not specified,second 48h measurement
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking (150 rpm),30 °C,72 h,not specified,44.29%,not specified,final 72h measurement
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking (150 rpm),30 °C,24 h,not specified,24.86%,not specified,first 24h measurement
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking (150 rpm),30 °C,48 h,not specified,30.89%,not specified,second 48h measurement
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking (150 rpm),30 °C,72 h,not specified,50.33%,not specified,final 72h measurement
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking (150 rpm),30 °C,24 h,not specified,78.27%,not specified,first 24h measurement
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking (150 rpm),30 °C,48 h,not specified,84.37%,not specified,second 48h measurement
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking (150 rpm),30 °C,72 h,not specified,89.56%,not specified,final 72h measurement
Congo red,Pleurotus ostreatus,20 mg/L,not specified,shaking (150 rpm),30 °C,72 h,not specified,91.19%,not specified,final 72h measurement
Methylene blue,Pleurotus ostreatus,3.3 mg/L,not specified,shaking (150 rpm),30 °C,72 h,not specified,42.49%,not specified,final 72h measurement
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,not specified,shaking (150 rpm),30 °C,72 h,not specified,91.52%,not specified,final 72h measurement
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,not specified,shaking (150 rpm),30 °C,72 h,not specified,33.16%,not specified,final 72h measurement
Congo red,Phanerochaete chrysosporium,20 mg/L,not specified,shaking (150 rpm),30 °C,72 h,not specified,85.46%,not specified,final 72h measurement
Disperse Violet 31,Phanerochaete chrysosporium,100 mg/L,not specified,shaking (150 rpm),30 °C,72 h,not specified,85.20%,not specified,final 72h measurement
