type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Crystal violet,Clitocybe dealbata,0.05 g/dm3,not specified,not specified,26 °C,7 days,not specified,30.3%,not specified,sorption (7.6%)
Crystal violet,Morchella sp.,0.05 g/dm3,not specified,not specified,26 °C,7 days,not specified,26.8%,not specified,sorption (18.5%)
Crystal violet,Trametes versicolor,0.05 g/dm3,not specified,not specified,26 °C,7 days,not specified,64.0%,not specified,sorption (61.4%)
Crystal violet,Polyporus picipes,0.05 g/dm3,not specified,not specified,26 °C,7 days,not specified,75.9%,not specified,sorption (59.7%)
Brilliant green,Clitocybe dealbata,0.05 g/dm3,not specified,not specified,26 °C,7 days,not specified,72.1%,not specified,sorption (48.1%)
Brilliant green,Morchella sp.,0.05 g/dm3,not specified,not specified,26 °C,7 days,not specified,94.0%,not specified,sorption (90.6%)
Thymol blue,Clitocybe dealbata,0.05 g/dm3,not specified,not specified,26 °C,7 days,not specified,2.7%,not specified,sorption (0%)
Thymol blue,Morchella sp.,0.05 g/dm3,not specified,not specified,26 °C,7 days,not specified,96.2%,not specified,sorption (93.0%)
Cresol red,Clitocybe dealbata,0.05 g/dm3,not specified,not specified,26 °C,7 days,not specified,75%,not specified,sorption was similar to removal by living biomass
Cresol red,Morchella sp.,0.05 g/dm3,not specified,not specified,26 °C,7 days,not specified,75%,not specified,sorption was similar to removal by living biomass
