type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Orange II,Phanerochaete chrysosporium,50 mg/L,not specified,shaking (150 rpm),30 °C,7 days,3.0,39.84%,mycelium,"maximum removal observed on the 7th day, optimum decolorization on day 5"
Orange II,Phanerochaete chrysosporium,50 mg/L,not specified,shaking (150 rpm),30 °C,7 days,4.0,71.56%,mycelium,"maximum removal observed on the 7th day, optimum decolorization on day 5"
Orange II,Phanerochaete chrysosporium,50 mg/L,not specified,shaking (150 rpm),30 °C,7 days,5.0,86.34%,mycelium,"maximum removal observed on the 7th day, optimum decolorization on day 5"
Orange II,Phanerochaete chrysosporium,50 mg/L,not specified,shaking (150 rpm),30 °C,7 days,6.0,69.56%,mycelium,"maximum removal observed on the 7th day, optimum decolorization on day 5"
Orange II,Phanerochaete chrysosporium,50 mg/L,not specified,shaking (150 rpm),30 °C,7 days,7.0,51.42%,mycelium,"maximum removal observed on the 7th day, optimum decolorization on day 5"
Orange II,Phanerochaete chrysosporium,100 mg/L,not specified,shaking (150 rpm),30 °C,7 days,5.0,85%,mycelium,maximum decolorization on day 5
Orange II,Phanerochaete chrysosporium,150 mg/L,not specified,shaking (150 rpm),30 °C,7 days,5.0,not specified,mycelium,removal started to decrease
Orange II,Phanerochaete chrysosporium,200 mg/L,not specified,shaking (150 rpm),30 °C,7 days,5.0,not specified,mycelium,removal started to decrease
Orange II,Phanerochaete chrysosporium,250 mg/L,not specified,shaking (150 rpm),30 °C,7 days,5.0,not specified,mycelium,removal started to decrease
Orange II,Phanerochaete chrysosporium,50 mg/L,not specified,shaking (150 rpm),24 °C,7 days,5.0,not specified,mycelium,temperature effect observed
Orange II,Phanerochaete chrysosporium,50 mg/L,not specified,shaking (150 rpm),32 °C,7 days,5.0,not specified,mycelium,temperature effect observed
Orange II,Phanerochaete chrysosporium,50 mg/L,not specified,shaking (150 rpm),34 °C,7 days,5.0,not specified,mycelium,temperature effect observed
