type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Methyl orange,P. citrinopileatus,not specified,not specified,static,25 °C,20 days,not specified,96.98%,mycelium,fastest decolorization among tested dyes
Congo red,P. flabellatus,not specified,not specified,static,25 °C,25 days,not specified,97.42%,mycelium,
Methyl red,P. flabellatus,not specified,not specified,static,25 °C,25 days,not specified,90.67%,mycelium,
Acid black,P. flabellatus,not specified,not specified,static,25 °C,25 days,not specified,84.52%,mycelium,
Phenol red,P. citrinopileatus,not specified,not specified,static,25 °C,25 days,not specified,93.33%,mycelium,
PSP,Pleurotus species and heterokaryons,300 mg/l,1 mm diameter,stagnant,25 °C,20 days,not specified,not specified,mycelium,Observed dye disappearance at λ max 497 nm
PSP,Pleurotus species and heterokaryons,not specified,1 mm diameter,agitated at 150 rpm,27 °C,not specified,"5.0, 5.5, 6.0",varied with pH,mycelium,Best decolorization at pH 5.5
Acid black,Improved dikaryons,"0.02%, 0.025%, 0.03%",not specified,static,not specified,not specified,not specified,better than parent species,mycelium,Select heterokaryons showed better decolorization at higher dye concentrations.
Acid black,Improved dikaryons,not specified,not specified,static,not specified,not specified,not specified,varied with tyrosine concentration,mycelium,Higher LiP and MnP activity with 2.0 µM tyrosine.
Acid black,Improved dikaryons,not specified,not specified,static,not specified,not specified,not specified,varied with copper concentration,mycelium,Maximum activity noted at 25 ppm of Cu.
