type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Congo Red,Grammothele subargentea,0.01%,not specified,not specified,25 °C,7 days,not specified,1,not specified,Growth reduction 22%.
Methyl Red,Grammothele subargentea,0.01%,not specified,not specified,25 °C,7 days,not specified,1,not specified,Growth reduction 42.4%.
Trypan Blue,Grammothele subargentea,0.01%,not specified,not specified,25 °C,7 days,not specified,1,not specified,Growth reduction 1.3%.
Methylene Blue B,Grammothele subargentea,0.01%,not specified,not specified,25 °C,21 days,not specified,4,not specified,Growth reduction 26.9%.
Neutral Red,Grammothele subargentea,0.01%,not specified,not specified,25 °C,14 days,not specified,2,not specified,Growth reduction 17.4%.
Toluidine Blue,Grammothele subargentea,0.01%,not specified,not specified,25 °C,14 days,not specified,2,not specified,Growth reduction 19.5%.
Bengal Rose,Grammothele subargentea,0.01%,not specified,not specified,25 °C,7 days,not specified,1,not specified,Growth reduction 50.6%.
Eosin Y,Grammothele subargentea,0.01%,not specified,not specified,25 °C,14 days,not specified,2,not specified,Growth reduction 38.7%.
Phloxine,Grammothele subargentea,0.01%,not specified,not specified,25 °C,7 days,not specified,1,not specified,Growth reduction 36.8%.
Brilliant Green,Grammothele subargentea,0.01%,not specified,not specified,25 °C,21 days,not specified,3,not specified,Growth reduction 90.3%.
Crystal Violet,Grammothele subargentea,0.01%,not specified,not specified,25 °C,21 days,not specified,3,not specified,Growth reduction 84.8%.
Fuchsin,Grammothele subargentea,0.01%,not specified,not specified,25 °C,14 days,not specified,2,not specified,Growth reduction 23.9%.
Molecular composition,Grammothele subargentea,not specified,not specified,not specified,not specified,not specified,not specified,not applicable,not applicable,Decolorized areas exhibited highest laccase activity.
