paper,pair,cosine_mean,cosine_std,jaccard_mean,jaccard_std,n_comparisons
A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_,baseline_vs_few_shot,0.7906854550043741,0.042979749043398824,0.3847317830967134,0.18801094087709924,9
A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_,baseline_vs_cot,0.8019521368874444,0.048731654755230426,0.3626536199623824,0.19221371357423464,9
A+microwave-based+method+for+nucleic+acid+isolation+from+environmental+samples_,few_shot_vs_cot,0.8794033527374268,0.04236998560758399,0.6046023460655229,0.1634071042277366,9
Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_,baseline_vs_few_shot,0.920587850941552,0.02353796426346725,0.568092811736283,0.10631928812033989,9
Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_,baseline_vs_cot,0.9050003157721626,0.0354090599405714,0.535018227139505,0.08153567311253347,9
Application+of+T.+pubescens+in+Large+Scale+Waste+Treatment_,few_shot_vs_cot,0.9273536801338196,0.02348127986157267,0.6262418109647478,0.08425905732216256,9
Azo+dye+_28direct+blue_29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_,baseline_vs_few_shot,0.8985141979323493,0.023923586824617437,0.5200513187753019,0.07955412624049929,9
Azo+dye+_28direct+blue_29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_,baseline_vs_cot,0.9224328531159295,0.011415334962449187,0.6047517294733923,0.06792104642002872,9
Azo+dye+_28direct+blue_29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_,few_shot_vs_cot,0.9062603380944994,0.02692053802945381,0.616399010720702,0.08046043737666692,9
Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_,baseline_vs_few_shot,0.9580174419615004,0.023332400050785893,0.6183683239206693,0.06674628340224166,9
Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_,baseline_vs_cot,0.9481336143281724,0.017497326223356285,0.5944666415827325,0.05394668023224883,9
