id,filename,baseline_newexpt_1_score,baseline_newexpt_2_score,baseline_newexpt_3_score,few_shot_newexpt_1_score,few_shot_newexpt_2_score,few_shot_newexpt_3_score,cot_newexpt_1_score,cot_newexpt_2_score,cot_newexpt_3_score
100001,Characterization+of+the+genes+for+enzymes+involved+in+the+degradation+of+azo+dyes+by+nocardioforms_.txt,10,10,10,9,9,9,10,10,10
100002,Anaerobic+and+aerobic+treatment+of+a+simulated+textile+effluent_.txt,9,9,10,9,9,9,10,10,10
100003,Azo+dyes%3A+past%2C+present+and+the+future_.txt,7,8,9,8,8,8,8,8,6
100004,Treatment+of+exhausted+reactive+dye+bath+effluent+using+anaerobic+digestion%3A+laboratory+and+full+scale+trials_.txt,1,1,1,2,2,2,2,2,2
100005,Acid+dye+removal%3A+comparison+of+surfactant-modified+mesoporous+FSM-16+with+activated+carbon+derived+from+rice+husk_.txt,10,10,10,9,9,9,10,10,10
100006,Ultrastructure+of+the+kinetoplast+and+mitochondrion+in+different+developmental+stages+of+Trypanosoma+brucei_.txt,1,2,1,2,2,2,3,3,2
100007,Occupational+exposures+and+the+risk+of+ovarian+cancer+in+Sweden_.txt,10,10,10,8,9,9,9,9,8
100008,Induction+of+Laccase+Production+by+T.+pubescens_.txt,10,10,10,9,9,9,10,10,10
100009,Evolutionary+domain+fusion+expanded+the+substrate+specificity+of+the+transmembrane+electron+transporter+DsbD_.txt,10,8,8,9,8,8,7,8,8
100010,A+new+screening+system+for+NAD%28P%29H%3Aquinone+oxidoreductase+%28NQO1%29-directed+antitumor+quinones%3A+identification+of+a+new+aziridinylbenzoquinone%2C+RH1%2C+as+a+NQO1-directed+antitumor+agent_.txt,10,10,10,9,9,9,9,10,10
100011,The+accumulation+of+substances+in+Recirculating+Aquaculture+Systems+%28RAS%29+affects+embryonic+and+larval+development+in+common+carp+Cyprinus+carpio_.txt,10,10,10,10,9,9,9,9,10
100012,The+enzymatic+decolorization+of+textile+dyes+by+the+immobilized+polyphenol+oxidase+from+quince+leaves_.txt,10,10,10,9,9,9,10,10,10
100013,Design+and+Synthesis+of+Nano+-Photosensitizers+for+various+biomedical+applications_.txt,10,10,10,9,8,9,9,9,10
100014,Metabolic+engineering+for+microbial+production+of+shikimic+acid_.txt,10,10,10,9,9,9,9,10,10
100015,Biodegradation+of+sulfonated+diazo+dye+by+Streptomycetes+species_.txt,10,10,10,9,9,10,9,10,10
100016,Biodegradation+of+triphenylmethane+dyes+by+Streptomyces+spp._.txt,10,10,10,9,9,10,10,10,10
100017,Influence+of+bioparticle+size+on+the+degradation+of+partially+soluble+wastewater+in+an+anaerobic+sequencing+batch+biofilm+reactor+%28ASBBR%29_.txt,6,6,7,7,2,4,8,8,8
100018,Development+and+evaluation+of+various+systems+of+telmisartan_.txt,10,10,10,9,9,9,10,10,10
100019,Degradation+of+reactive+azo+dyes+by+Fenton+process_.txt,10,10,10,9,9,9,10,10,10
100020,Quality+of+Care+and+Outcomes+Research+and+Functional+Genomics+and+Translational+Biology+Interdisciplinary+Working+Groups%3B+and+Council+on+Epidemiology+and+Prevention._.txt,1,1,1,2,2,2,1,2,1
100021,Role+of+azoreductase+in+dye+degradation_.txt,10,10,10,9,9,10,10,10,10
100022,Colour+chemistry+synthesis+properties+and+application+of+organic+dyes+and+pigments_.txt,1,1,1,1,2,1,1,1,1
100023,Biodegradation+of+reactive+textile+dye+Red+BLI+by+an+isolated+bacterium+Pseudomonas+sp.+SUK1_.txt,10,10,10,9,9,9,10,10,10
100024,Indigo+degradation+with+purified+laccases+from+Trametes+hirsuta+and+sclerotim+rolfsii_.txt,10,10,9,9,9,9,10,10,10
100025,Role+of+cyanobacteria+in+the+biodegradation+of+crude+oil+by+a+tropical+cyanobacterial+mat_.txt,10,10,10,9,9,9,9,10,10
100026,Mechanism+of+triphenylmethane+dye+biodegradation_.txt,10,10,10,9,9,9,10,10,10
100027,Enhanced+decolorization+and+biodegradationof+textile+azo+dye+Scarlet+R+by+using+developed+microbial+consortium+-GR_.txt,10,10,10,9,9,9,10,9,10
100028,Treatment+of+a+mixture+of+three+pesticides+by+photo-+and+electro-Fenton+processes_.txt,10,10,10,10,9,10,10,10,10
100029,Water+and+Wastewater+Calculations+Manual_.txt,1,1,1,2,2,2,1,1,1
100030,Bio-sorption+of+Heavy+Metals_.txt,1,4,1,2,2,2,1,2,6
100031,Biodecolorization+and+Biodegradation+of+Azo+dyes+by+Some+Bacterial+isolates_.txt,1,1,1,2,2,2,2,2,3
100032,Degradation+of+dyes+by+white+rot+fungi_.txt,10,10,10,9,9,9,10,9,10
100033,Anaerobic+decolorization+bacteria+for+the+treatment+of+azo+dye+in+a+sequential+anaerobic+and+aerobic+membrane+bioreactor_.txt,10,9,9,9,9,9,9,10,9
100034,Color+removal+from+textile+plant+effluents_.txt,1,1,1,2,2,2,2,2,2
100035,Biochemical+and+molecular+characterization+of+an+azoreductase+from+Staphylococcus+aures%2C+a+tetrameric+NADPH-dependent+flavoprotein_.txt,9,10,10,9,9,9,10,10,10
100036,Biodegradation+of+crystal+violet+by+Bacillus+subtilis_.txt,10,9,10,9,9,9,10,10,10
100037,Effects+of+Bubble+Coalescence+and+Breakup+Models+on+the+Simulation+of+Bubble+Columns_.txt,10,10,10,9,9,9,8,8,9
100038,Applications+of+artificial+intelligence+for+chemical+inference.+III.+Aliphatic+ethers+diagnosed+by+their+low-resolution+mass+spectra+and+nuclear+magnetic+resonance+data_.txt,10,10,10,8,8,8,8,8,8
100039,Simultaneous+Biodegradation+and+Adsorption+of+Textile+Dyestuff+in+an+Activated+Sludge+Unit_.txt,8,9,8,9,8,8,3,4,6
100040,Impacts+of+different+media+on+constructed+wetlands+for+rural+household+sewage+treatment_.txt,10,10,10,9,9,9,9,10,9
100041,MnCl2+and+MgCl2+for+the+removal+of+reactive+dye+Levafix+Brilliant+Blue+EBRA+from+synthetic+textile+wastewaters%3A+an+adsorption%2Faggregation+mechanism_.txt,10,10,9,9,9,9,10,10,10
100042,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,9,10,10,9,9,9,10,10,10
100043,A+successful+experience+with+the+flipped+classroom+in+the+Transport+Phenomena+course_.txt,9,9,10,9,9,9,10,9,9
100044,The+modified+Fenton+process+for+decolorization+of+dye+wastewater_.txt,10,10,10,9,9,9,10,10,10
100045,The+use+of+a+charge-coupled+device+for+quantitative+optical+microscopy+of+biological+structures_.txt,1,1,1,1,0,1,1,1,1
100046,Introduction.+The+diatoms+of+the+United+States_.txt,1,1,1,2,2,2,3,2,2
100047,Shear+Rate+and+Cell+Damage+in+Bioreactors_.txt,10,10,10,9,9,9,9,9,9
100048,The+Physiology+and+Biochemistry+of+Prokaryotes_.txt,1,1,1,2,2,2,1,5,1
100049,Discoloration+of+aqueous+reactive+dye+solutions+in+the+UV%2FFe0+system_.txt,7,7,8,9,8,3,8,8,8
100050,Mutagenic+and+carcinogenic+potential+of+a+textile+azo+dye+processing+plant+effluent_.txt,10,10,10,9,9,9,10,10,9
100051,Serotonin+syndrome+as+a+result+of+fluoxetine+in+a+patient+with+tramadol+abuse%3A+plasma+level-correlated+symptomatology_.txt,1,1,1,2,2,2,1,2,2
100052,Proposal+for+a+common+nomenclature+for+sequence+ions+in+mass+spectra+of+peptides_.txt,10,10,10,8,4,2,8,8,3
100053,Cross-Linking+of+Technical+Lignin+via+Esterification+and+Thermally+Initiated+Free+Radical+Reaction_.txt,8,10,10,6,9,8,10,8,9
100054,Effect+of+potentially+probiotic+lactobacilli+on+faecal+enzyme+activity+in+minipigs+on+a+high-fat%2C+high-cholesterol+diet+%E2%80%93a+preliminary+in+vivo+trial_.txt,1,1,1,1,2,2,1,1,1
100055,Use+of+sublingual+olanzapine+in+serotonin+syndrome_.txt,1,1,2,2,2,2,2,2,1
100056,Comparison+of+electrocoagulation+and+chemical+coagulation+processes+in+removing+Reactive+red+196+from+aqueous+solution_.txt,10,10,10,9,9,9,10,10,10
100057,Tumor+promotion+by+metanil+yellow+and+malachite+green_.txt,10,10,10,9,9,9,10,10,10
100058,On+the+role%28s%29+of+additives+in+bioinspired+silicification_.txt,1,1,1,2,1,2,2,3,3
100059,Bacterial+decolorization+and+degradation+of+azo+dyes_.txt,1,1,1,2,2,2,2,1,1
100060,Equilibrium%2C+kinetics+and+thermodynamic+of+Remazol+Brilliant+Orange+3R+dye+adsorption+on+coffee+husk-based+activated+carbon_.txt,10,10,10,9,10,9,10,10,10
100061,Continuous+treatment+of+textile+water+by+ozonation+and+coagulation_.txt,10,10,10,9,9,9,9,10,9
100062,Effect+of+tween+20+and+tween+80+on+enzyme+production+in+bacteria_.txt,1,1,2,2,2,1,1,1,2
100063,Methylmalonyl+CoA+mutase+handbook+of+metalloproteins_.txt,10,10,10,9,9,9,9,10,10
100064,Agroscope+FAL_.txt,9,9,10,9,9,9,9,10,9
100065,Long-term+microplastic+retention+causes+reduced+body+condition+in+the+langoustine%2C+Nephrops+norvegicus_.txt,10,10,10,9,9,9,10,10,10
100066,Laccase+Production+in+White+Rot+Fungi_.txt,1,1,6,2,3,2,2,3,5
100067,Transformation+of+Manganese+Oxides+by+Organic+Constituents+in+Natural+and+Laboratory+Systems_.txt,10,10,10,10,9,10,10,10,10
100068,Empirical+bayes+analysis+of+a+microarray+experiment_.txt,10,10,10,9,9,9,10,9,10
100069,Serotonin+syndrome%3A+potentially+fatal+but+difficult+to+recognize_.txt,1,1,1,2,2,2,2,2,3
100070,Decolorization+and+biodegradation+of+methyl+red+by+Klebsiella+pneumoniae+RS-13_.txt,10,10,10,9,9,9,10,10,10
100071,The+taxonomy%2C+ecology+and+cultivation+of+bacterial+genera+belonging+to+the+family+Flavobacteriaceae_.txt,10,10,10,9,9,9,10,10,10
100072,Removal+of+p-chlorophenol+by+the+marine+microalga+Tetraselmis+suecica_.txt,10,10,10,9,9,9,10,9,10
100073,Oxidation+kinetics+of+Fenton%E2%80%99s+process+in+dye+degradation_.txt,10,10,10,9,9,9,9,10,10
100074,Some+properties+of+a+granular+activated+carbon-sequencing+batch+reactor+%28GAC-SBR%29+system+for+treatment+of+textile+wastewater+containing+direct+dyes_.txt,10,9,10,9,9,9,10,9,9
100075,Anion+exchange+resins+for+removal+of+reactive+dyes+from+textile+wastewaters_.txt,1,1,1,2,2,2,2,3,2
100076,Nitrate+has+a+low+impact+on+performance+parameters+and+health+status+of+on-growing+European+sea+bass+%28Dicentrarchus+labrax%29+reared+in+RAS_.txt,10,10,10,10,9,9,10,10,10
100077,Effect+of+Some+Operational+Parameters+on+Textile+Dye+Biodegradation+in+a+Sequential+Batch+Reactor_.txt,10,9,10,9,9,9,8,7,8
100078,Simultaneous+measurement+of+two+enzyme+activities+using+infrared+spectroscopy%3A+a+comparative+evaluation+of+PARAFAC%2C+TUCKER+and+N-PLS+modeling_.txt,10,10,10,9,9,9,10,9,10
100079,Heterotrophic+cultures+of+microalgae%3A+metabolism+and+potential+products_.txt,1,1,1,2,2,2,3,2,4
100080,Colour+in+textile+effluents%2C+Sources%2C+measurements%2C+discharge+consents+and+simulation%3A+a+review_.txt,10,10,10,9,9,9,10,10,10
100081,Antidepressants%3A+clinically+relevant+drug+interactions+to+be+considered_.txt,1,1,1,2,2,2,3,3,3
100082,Eco-friendly+biodegradation+and+detoxification+of+Reactive+Red+2+textile+dye+by+newly+isolated+Pseudomonas+sp.+SUK1_.txt,10,10,10,9,9,10,10,10,10
100083,Ability+of+natural+bacterial+isolates+to+metabolize+high+and+low+molecular+weight+lignin-derived+molecules_.txt,9,10,8,2,4,2,2,8,2
100084,Degradation+of+substituted+phenols+by+purified+laccase+and+laccase-producing+microorganisms_.txt,10,10,10,9,9,10,10,10,9
100085,The+shikimate+pathway%3A+early+steps+in+the+biosynthesis+of+aromatic+compounds_.txt,1,6,1,2,2,2,2,8,3
100086,On+the+biodegradation+of+poly-beta-hydroxybutyrate+homopolymer+and+poly+beta-hydroxybutyrate%E2%80%93hydroxyvalerate+copolymers_.txt,1,1,1,2,2,2,1,7,1
100087,Bubble+properties+and+local+liquid+velocity+in+the+radial+direction+of+cocurrent+gas%E2%80%94liquid+flow_.txt,10,10,10,9,9,9,10,10,10
100088,Brain+and+body+temperature+homeostasis+during+sodium+pentobarbital+anesthesia+with+and+without+body+warming+in+rats_.txt,9,8,8,8,9,9,8,10,8
100089,Biofilm+and+granular+systems+to+improve+Anammox+biomass+retention_.txt,10,10,10,9,9,9,9,10,10
100090,Diversity+of+benthic+microalgae+in+response+to+colonization+time_.txt,10,10,10,9,9,9,10,10,10
100091,Nitrate+Toxicity+on+Visceral+Organs+of+Medaka+Fish%2C+Oryzias+latipes_.txt,10,10,10,9,9,9,8,9,10
100092,Molecular+basis+of+the+catalytic+differences+among+DT-diaphorase+of+human%2C+rat%2C+and..._.txt,10,10,10,9,9,9,10,10,10
100093,Design+of+Multiphase+Reactors_.txt,1,1,1,2,2,2,1,1,1
