filename,status,baseline_score,few_shot_examples_score,chain_of_thought_score
Anaerobic+and+aerobic+treatment+of+a+simulated+textile+effluent_.txt,processed,0.2222222222,0.3,0.2
Azo+dyes%3A+past%2C+present+and+the+future_.txt,processed,0,0.2,0.2
Treatment+of+exhausted+reactive+dye+bath+effluent+using+anaerobic+digestion%3A+laboratory+and+full+scale+trials_.txt,processed,0.8888888889,0.8,0.9
The+accumulation+of+substances+in+Recirculating+Aquaculture+Systems+%28RAS%29+affects+embryonic+and+larval+development+in+common+carp+Cyprinus+carpio_.txt,processed,0,0.3,0.2
The+enzymatic+decolorization+of+textile+dyes+by+the+immobilized+polyphenol+oxidase+from+quince+leaves_.txt,processed,0.5555555556,0.7,0.1
Design+and+Synthesis+of+Nano+-Photosensitizers+for+various+biomedical+applications_.txt,processed,0,0.2,0.1
Metabolic+engineering+for+microbial+production+of+shikimic+acid_.txt,processed,0,0.3,0.2
Biodegradation+of+sulfonated+diazo+dye+by+Streptomycetes+species_.txt,processed,0.7777777778,0.8,0.2
Biodegradation+of+triphenylmethane+dyes+by+Streptomyces+spp._.txt,processed,1,0.8,0.5
Influence+of+bioparticle+size+on+the+degradation+of+partially+soluble+wastewater+in+an+anaerobic+sequencing+batch+biofilm+reactor+%28ASBBR%29_.txt,processed,0.1111111111,0.3,0.1
Development+and+evaluation+of+various+systems+of+telmisartan_.txt,processed,0.4444444444,0.4,0.3
Degradation+of+reactive+azo+dyes+by+Fenton+process_.txt,processed,0.2222222222,0.3,0.2
Quality+of+Care+and+Outcomes+Research+and+Functional+Genomics+and+Translational+Biology+Interdisciplinary+Working+Groups%3B+and+Council+on+Epidemiology+and+Prevention._.txt,processed,0,0.1,0.1
Role+of+azoreductase+in+dye+degradation_.txt,processed,0.8888888889,0.9,0.3
Colour+chemistry+synthesis+properties+and+application+of+organic+dyes+and+pigments_.txt,processed,0,0.1,0.1
Biodegradation+of+reactive+textile+dye+Red+BLI+by+an+isolated+bacterium+Pseudomonas+sp.+SUK1_.txt,processed,0.4444444444,0.8,0.2
Indigo+degradation+with+purified+laccases+from+Trametes+hirsuta+and+sclerotim+rolfsii_.txt,processed,1,0.9,1
Role+of+cyanobacteria+in+the+biodegradation+of+crude+oil+by+a+tropical+cyanobacterial+mat_.txt,processed,0.7777777778,0.8,0.3
Mechanism+of+triphenylmethane+dye+biodegradation_.txt,processed,0.5555555556,0.8,0.9
Enhanced+decolorization+and+biodegradationof+textile+azo+dye+Scarlet+R+by+using+developed+microbial+consortium+-GR_.txt,processed,0.1111111111,0.5,0.2
Treatment+of+a+mixture+of+three+pesticides+by+photo-+and+electro-Fenton+processes_.txt,processed,0.1111111111,0.3,0.1
Water+and+Wastewater+Calculations+Manual_.txt,processed,0,0.1,0.1
Bio-sorption+of+Heavy+Metals_.txt,processed,0.7777777778,0.8,0.9
Biodecolorization+and+Biodegradation+of+Azo+dyes+by+Some+Bacterial+isolates_.txt,processed,0.2222222222,0.8,0.2
Degradation+of+dyes+by+white+rot+fungi_.txt,processed,1,0.9,1
Anaerobic+decolorization+bacteria+for+the+treatment+of+azo+dye+in+a+sequential+anaerobic+and+aerobic+membrane+bioreactor_.txt,processed,0.2222222222,0.8,0.4
Color+removal+from+textile+plant+effluents_.txt,processed,0.8888888889,0.9,0.9
Biochemical+and+molecular+characterization+of+an+azoreductase+from+Staphylococcus+aures%2C+a+tetrameric+NADPH-dependent+flavoprotein_.txt,processed,0,0.8,0.2
Biodegradation+of+crystal+violet+by+Bacillus+subtilis_.txt,processed,0.1111111111,0.3,0.2
Effects+of+Bubble+Coalescence+and+Breakup+Models+on+the+Simulation+of+Bubble+Columns_.txt,processed,0,0.2,0.1
Applications+of+artificial+intelligence+for+chemical+inference.+III.+Aliphatic+ethers+diagnosed+by+their+low-resolution+mass+spectra+and+nuclear+magnetic+resonance+data_.txt,processed,0,0.2,0.1
Simultaneous+Biodegradation+and+Adsorption+of+Textile+Dyestuff+in+an+Activated+Sludge+Unit_.txt,processed,0,0.2,0.2
Impacts+of+different+media+on+constructed+wetlands+for+rural+household+sewage+treatment_.txt,processed,0.2222222222,0.4,0.2
MnCl2+and+MgCl2+for+the+removal+of+reactive+dye+Levafix+Brilliant+Blue+EBRA+from+synthetic+textile+wastewaters%3A+an+adsorption%2Faggregation+mechanism_.txt,processed,0.1111111111,0.8,0.2
Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,processed,1,0.9,1
A+successful+experience+with+the+flipped+classroom+in+the+Transport+Phenomena+course_.txt,processed,0,0.1,0.1
The+modified+Fenton+process+for+decolorization+of+dye+wastewater_.txt,processed,0.1111111111,0.3,0.1
The+use+of+a+charge-coupled+device+for+quantitative+optical+microscopy+of+biological+structures_.txt,processed,0,0.1,0.1
Introduction.+The+diatoms+of+the+United+States_.txt,processed,0,0.3,0.1
Shear+Rate+and+Cell+Damage+in+Bioreactors_.txt,processed,0.1111111111,0.2,0.8
The+Physiology+and+Biochemistry+of+Prokaryotes_.txt,processed,0,0.1,0
Discoloration+of+aqueous+reactive+dye+solutions+in+the+UV%2FFe0+system_.txt,processed,0.1111111111,0.3,0.3
Mutagenic+and+carcinogenic+potential+of+a+textile+azo+dye+processing+plant+effluent_.txt,processed,0.1111111111,0.3,0.1
