id,filename,status,baseline_dye_1_score,baseline_dye_2_score,baseline_dye_3_score,few_shot_dye_1_score,few_shot_dye_2_score,few_shot_dye_3_score,cot_dye_1_score,cot_dye_2_score,cot_dye_3_score
100001,Characterization+of+the+genes+for+enzymes+involved+in+the+degradation+of+azo+dyes+by+nocardioforms_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100002,Anaerobic+and+aerobic+treatment+of+a+simulated+textile+effluent_.txt,processed,0.9,0.9,1.0,0.8,0.8,0.8,0.8,0.8,0.7
100003,Azo+dyes%3A+past%2C+present+and+the+future_.txt,processed,0.7,0.1,1.0,0.8,0.8,0.7,0.3,0.2,0.8
100004,Treatment+of+exhausted+reactive+dye+bath+effluent+using+anaerobic+digestion%3A+laboratory+and+full+scale+trials_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100005,Acid+dye+removal%3A+comparison+of+surfactant-modified+mesoporous+FSM-16+with+activated+carbon+derived+from+rice+husk_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100006,Ultrastructure+of+the+kinetoplast+and+mitochondrion+in+different+developmental+stages+of+Trypanosoma+brucei_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1
100007,Occupational+exposures+and+the+risk+of+ovarian+cancer+in+Sweden_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
100008,Induction+of+Laccase+Production+by+T.+pubescens_.txt,processed,1.0,0.8,0.9,0.8,0.9,0.8,0.7,0.4,0.7
100009,Evolutionary+domain+fusion+expanded+the+substrate+specificity+of+the+transmembrane+electron+transporter+DsbD_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
100010,A+new+screening+system+for+NAD%28P%29H%3Aquinone+oxidoreductase+%28NQO1%29-directed+antitumor+quinones%3A+identification+of+a+new+aziridinylbenzoquinone%2C+RH1%2C+as+a+NQO1-directed+antitumor+agent_.txt,processed,0.6,0.2,0.4,0.1,0.2,0.3,0.2,0.2,0.2
100011,The+accumulation+of+substances+in+Recirculating+Aquaculture+Systems+%28RAS%29+affects+embryonic+and+larval+development+in+common+carp+Cyprinus+carpio_.txt,processed,1.0,0.8,0.9,0.4,0.4,0.3,0.4,0.7,0.6
100012,The+enzymatic+decolorization+of+textile+dyes+by+the+immobilized+polyphenol+oxidase+from+quince+leaves_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100013,Design+and+Synthesis+of+Nano+-Photosensitizers+for+various+biomedical+applications_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100014,Metabolic+engineering+for+microbial+production+of+shikimic+acid_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100015,Biodegradation+of+sulfonated+diazo+dye+by+Streptomycetes+species_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
100016,Biodegradation+of+triphenylmethane+dyes+by+Streptomyces+spp._.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100017,Influence+of+bioparticle+size+on+the+degradation+of+partially+soluble+wastewater+in+an+anaerobic+sequencing+batch+biofilm+reactor+%28ASBBR%29_.txt,processed,0.8,0.8,0.8,0.7,0.4,0.6,0.5,0.3,0.4
100018,Development+and+evaluation+of+various+systems+of+telmisartan_.txt,processed,1.0,0.9,1.0,0.9,0.9,0.9,0.9,1.0,0.9
100019,Degradation+of+reactive+azo+dyes+by+Fenton+process_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100020,Quality+of+Care+and+Outcomes+Research+and+Functional+Genomics+and+Translational+Biology+Interdisciplinary+Working+Groups%3B+and+Council+on+Epidemiology+and+Prevention._.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
100021,Role+of+azoreductase+in+dye+degradation_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100022,Colour+chemistry+synthesis+properties+and+application+of+organic+dyes+and+pigments_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
100023,Biodegradation+of+reactive+textile+dye+Red+BLI+by+an+isolated+bacterium+Pseudomonas+sp.+SUK1_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
